selected_timetable_id,stage_d_input_id,scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,public_route_count,public_route_ids_json,selected_phase_vector_json,robust_min_transfer_quality,robust_unweighted_mean_transfer_quality,exact_daily_bus_km,explicit_public_trip_count,exact_fleet_recovery5,exact_fleet_recovery10,exact_fleet_recovery15,s8_target_selection_semantics,phase_selection_rule,exact_timetable_constructed
D3RT1_72ed8cd3a1251652,D4I2_3034c5cd23d23933,P2_32853da8720a73ab,two_radial_out_and_back_feeders,20,CORE_0600_2200,360,1320,2,"[""R2_402252e80c7dedf5b246"",""R2_24b9da7fb1469e8bb4e0""]","[18,3]",0.350499668891,0.496837914004,549.018908016,96,2,3,4,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_72f9cf050f78bd60,D4I2_551f9c5e3f557edd,P2_f6c99557d5d9cd67,short_turn_overlay,60,CORE_0600_2200,360,1320,2,"[""R2_a54204bfaea423e73556"",""R2_b36cbe6e206909377c2d""]","[35,35]",0.256907831081,0.342991937328,225.553463312,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73194a52e52f8597,D4I2_fe04afa4a19ca081,P2_91d05501a368a47d,single_compact_loop,20,CORE_0600_2200,360,1320,1,"[""R2_97625137c9d52510f723""]",[19],0.373076172153,0.524273837571,305.793257040,48,1,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_733a9e59266dca86,D4I2_e942205c0f232757,P2_018fb8808f0b60ee,interlined_figure8,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_b2032eeb31cba06561f0"",""R2_ee13da0e6a2cac68a14e""]","[36,36]",0.227075016866,0.495478534562,239.650927129,38,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_734a0c8f95a31c50,D4I2_212e541602a5a69c,P2_3390b332597f923f,hybrid_interlined,30,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_ab5110a74d88f6a5a5dd"",""R2_36a767ee3b33149a43c5""]","[12,11]",0.209611348260,0.556573233568,182.995558596,74,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_7351b6f0363ea106,D4I2_c688e8380688f27f,P2_1f6b3f14de04df6f,single_compact_loop,60,CORE_0600_2200,360,1320,1,"[""R2_dfce72be02243c3a5df5""]",[37],0.200114460097,0.466979298776,330.455234432,16,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_735a941448036921,D4I2_a25cc68a7bd3c873,P2_1781b136fd946d43,blank_slate,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_5464385760a996896b1f""]",[9],0.094470226988,0.275732188655,270.545272614,18,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_7363189ef09fa3ec,D4I2_e8881ef37a33658f,P2_f6e18c4dbeab2fa4,blank_slate,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_b11abbef6086e5279f0b""]",[35],0.257277376861,0.501451593036,127.027635912,19,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_737a86cb816a4c31,D4I2_305d8e131032e730,P2_8df11a71de11dd30,blank_slate,60,CORE_0600_2200,360,1320,1,"[""R2_d6df80a0383a6916c5c1""]",[37],0.200114460097,0.457698714224,331.503894336,16,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_7383d6808a47d5fd,D4I2_875dc418e73b0b35,P2_3bc9612eceb1997a,short_turn_overlay,60,CORE_0600_2200,360,1320,2,"[""R2_c6bbd7e49738da290bca"",""R2_8de3fe3c480a6bf26a07""]","[35,35]",0.256907831081,0.342991937328,283.769868560,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
