anchor_id,evidence_status,enabled,graph_node_id,source_kind,source_members,source_member_count,source_member_kinds,municipalities,representative_snap_distance_m,epoch_id
P2V2S_0037,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530247.16:5063383.16,PROPOSED_STOP,P2V2S_0037,1,PROPOSED_STOP,Olgiate Molgora,4.540140,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0038,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532515.89:5063400.24,PROPOSED_STOP,P2V2S_0038,1,PROPOSED_STOP,Calco,26.139118,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0039,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530575.88:5063416.40,PROPOSED_STOP,P2V2S_0039,1,PROPOSED_STOP,Olgiate Molgora,1.725090,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0040,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528370.01:5063423.36,PROPOSED_STOP,P2V2S_0040,1,PROPOSED_STOP,La Valletta Brianza,3.228522,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0041,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529199.67:5063451.57,PROPOSED_STOP,P2V2S_0041,1,PROPOSED_STOP,La Valletta Brianza,1.244709,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0042,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531318.16:5063490.12,PROPOSED_STOP,P2V2S_0042,1,PROPOSED_STOP,Olgiate Molgora,2.601055,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0043,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529784.16:5063500.87,PROPOSED_STOP,P2V2S_0043,1,PROPOSED_STOP,La Valletta Brianza,0.921909,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0044,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533395.53:5063515.45,PROPOSED_STOP,P2V2S_0044,1,PROPOSED_STOP,Calco,1.296757,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0045,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533802.59:5063525.44,PROPOSED_STOP,P2V2S_0045,1,PROPOSED_STOP,Calco,0.290393,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0046,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533056.42:5063554.70,PROPOSED_STOP,P2V2S_0046,1,PROPOSED_STOP,Calco,9.349012,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0047,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530969.43:5063609.92,PROPOSED_STOP,P2V2S_0047,1,PROPOSED_STOP,Olgiate Molgora,0.600899,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0048,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533601.70:5063620.67,PROPOSED_STOP,P2V2S_0048,1,PROPOSED_STOP,Calco,11.310417,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0049,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528251.53:5063629.42,PROPOSED_STOP,P2V2S_0049,1,PROPOSED_STOP,La Valletta Brianza,3.318144,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0050,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529076.13:5063700.49,PROPOSED_STOP,P2V2S_0050,1,PROPOSED_STOP,La Valletta Brianza,10.300979,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0051,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529816.28:5063710.78,PROPOSED_STOP,P2V2S_0051,1,PROPOSED_STOP,La Valletta Brianza,10.686971,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0052,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529350.66:5063734.88,PROPOSED_STOP,P2V2S_0052,1,PROPOSED_STOP,La Valletta Brianza,10.733016,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0053,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532665.68:5063771.89,PROPOSED_STOP,P2V2S_0053,1,PROPOSED_STOP,Calco,9.475232,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0054,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531878.42:5063774.16,PROPOSED_STOP,P2V2S_0054,1,PROPOSED_STOP,Calco,7.796524,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0055,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534223.38:5063807.16,PROPOSED_STOP,P2V2S_0055,1,PROPOSED_STOP,Calco,44.300303,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0056,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530932.12:5063859.12,PROPOSED_STOP,P2V2S_0056,1,PROPOSED_STOP,Olgiate Molgora,1.842742,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0057,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530113.29:5063882.84,PROPOSED_STOP,P2V2S_0057,1,PROPOSED_STOP,La Valletta Brianza,1.227216,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0058,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533816.71:5063931.84,PROPOSED_STOP,P2V2S_0058,1,PROPOSED_STOP,Calco,45.191537,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0059,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527952.40:5063922.33,PROPOSED_STOP,P2V2S_0059,1,PROPOSED_STOP,La Valletta Brianza,3.496601,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0060,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534574.45:5063964.23,PROPOSED_STOP,P2V2S_0060,1,PROPOSED_STOP,Calco,5.207210,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0061,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529712.25:5063957.24,PROPOSED_STOP,P2V2S_0061,1,PROPOSED_STOP,La Valletta Brianza,16.540541,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0062,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532834.30:5063977.48,PROPOSED_STOP,P2V2S_0062,1,PROPOSED_STOP,Calco,6.622005,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0063,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534328.40:5064029.79,PROPOSED_STOP,P2V2S_0063,1,PROPOSED_STOP,Calco,17.377112,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0064,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529926.55:5064034.63,PROPOSED_STOP,P2V2S_0064,1,PROPOSED_STOP,La Valletta Brianza,5.124351,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0065,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527672.52:5064040.01,PROPOSED_STOP,P2V2S_0065,1,PROPOSED_STOP,La Valletta Brianza,4.282366,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0066,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529462.31:5064080.87,PROPOSED_STOP,P2V2S_0066,1,PROPOSED_STOP,La Valletta Brianza,14.691297,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0067,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533465.71:5064074.30,PROPOSED_STOP,P2V2S_0067,1,PROPOSED_STOP,Brivio,24.420664,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0068,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528989.28:5064103.60,PROPOSED_STOP,P2V2S_0068,1,PROPOSED_STOP,La Valletta Brianza,3.661532,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0069,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527237.90:5064133.74,PROPOSED_STOP,P2V2S_0069,1,PROPOSED_STOP,La Valletta Brianza,1.821479,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0070,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532326.70:5064169.62,PROPOSED_STOP,P2V2S_0070,1,PROPOSED_STOP,Calco,5.196964,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0071,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528683.37:5064177.98,PROPOSED_STOP,P2V2S_0071,1,PROPOSED_STOP,La Valletta Brianza,0.255513,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0072,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529740.66:5064196.31,PROPOSED_STOP,P2V2S_0072,1,PROPOSED_STOP,La Valletta Brianza,4.914602,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0073,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531240.07:5064288.01,PROPOSED_STOP,P2V2S_0073,1,PROPOSED_STOP,Olgiate Molgora,45.504044,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0074,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529128.26:5064249.42,PROPOSED_STOP,P2V2S_0074,1,PROPOSED_STOP,La Valletta Brianza,38.445704,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0075,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532650.92:5064288.76,PROPOSED_STOP,P2V2S_0075,1,PROPOSED_STOP,Calco,8.563943,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0076,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528212.81:5064297.08,PROPOSED_STOP,P2V2S_0076,1,PROPOSED_STOP,La Valletta Brianza,11.160545,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0077,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534386.91:5064289.38,PROPOSED_STOP,P2V2S_0077,1,PROPOSED_STOP,Brivio,6.244902,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0078,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527620.14:5064313.82,PROPOSED_STOP,P2V2S_0078,1,PROPOSED_STOP,La Valletta Brianza,1.266742,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0079,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533081.20:5064341.93,PROPOSED_STOP,P2V2S_0079,1,PROPOSED_STOP,Brivio,4.563992,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0080,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527064.83:5064371.57,PROPOSED_STOP,P2V2S_0080,1,PROPOSED_STOP,La Valletta Brianza,3.087835,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0081,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528468.55:5064397.30,PROPOSED_STOP,P2V2S_0081,1,PROPOSED_STOP,La Valletta Brianza,6.078717,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0082,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530854.09:5064398.13,PROPOSED_STOP,P2V2S_0082,1,PROPOSED_STOP,Olgiate Molgora,0.553503,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0083,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530597.55:5064383.12,PROPOSED_STOP,P2V2S_0083,1,PROPOSED_STOP,Olgiate Molgora,17.211766,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0084,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528847.09:5064430.55,PROPOSED_STOP,P2V2S_0084,1,PROPOSED_STOP,La Valletta Brianza,6.323463,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0085,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532250.08:5064436.36,PROPOSED_STOP,P2V2S_0085,1,PROPOSED_STOP,Calco,2.798463,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0086,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527858.93:5064427.63,PROPOSED_STOP,P2V2S_0086,1,PROPOSED_STOP,La Valletta Brianza,38.268697,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0087,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533870.67:5064508.82,PROPOSED_STOP,P2V2S_0087,1,PROPOSED_STOP,Brivio,1.277853,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0088,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534618.10:5064517.96,PROPOSED_STOP,P2V2S_0088,1,PROPOSED_STOP,Brivio,5.500293,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0089,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527460.89:5064584.71,PROPOSED_STOP,P2V2S_0089,1,PROPOSED_STOP,La Valletta Brianza,7.128063,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0090,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528185.51:5064585.61,PROPOSED_STOP,P2V2S_0090,1,PROPOSED_STOP,La Valletta Brianza,2.039297,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0091,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531893.53:5064624.64,PROPOSED_STOP,P2V2S_0091,1,PROPOSED_STOP,Olgiate Molgora,19.487890,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0092,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530821.75:5064655.06,PROPOSED_STOP,P2V2S_0092,1,PROPOSED_STOP,Olgiate Molgora,5.443238,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0093,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530470.88:5064669.05,PROPOSED_STOP,P2V2S_0093,1,PROPOSED_STOP,Olgiate Molgora,3.060828,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0094,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528548.21:5064679.22,PROPOSED_STOP,P2V2S_0094,1,PROPOSED_STOP,La Valletta Brianza,10.358923,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0095,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527698.47:5064691.65,PROPOSED_STOP,P2V2S_0095,1,PROPOSED_STOP,La Valletta Brianza,11.461514,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0096,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534044.21:5064703.95,PROPOSED_STOP,P2V2S_0096,1,PROPOSED_STOP,Brivio,1.632360,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0097,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534574.89:5064755.67,PROPOSED_STOP,P2V2S_0097,1,PROPOSED_STOP,Brivio,6.884145,gate-d-2026-09-03-834d5caa0bfd
