plan_id,scenario_id,topology_family,frontier_basis,uniform_headway_min,span_id,span_start_min,span_end_min,span_minutes,calendar_id,annual_service_days,extension_share,public_population_covered_10min,public_population_coverage_share_10min,public_worst_municipality_10min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_od_relation_count,public_structurally_addressable_worker_od_mass_upper_bound,public_plus_extensions_population_covered_10min,public_plus_extensions_population_coverage_share_10min,public_plus_extensions_worst_municipality_10min,public_plus_extensions_worst_municipality_coverage_share_10min,public_plus_extensions_structurally_addressable_od_relation_count,public_plus_extensions_structurally_addressable_worker_od_mass_upper_bound,expected_pattern_set_cycle_distance_km,expected_pattern_set_cycle_runtime_min,annual_bus_km,fleet_lower_bound_recovery5,fleet_lower_bound_recovery10,fleet_lower_bound_recovery15,public_explicit_proposed_stop_count,public_explicit_existing_stop_count,public_explicit_field_check_pending_count,s8_public_route_count,s8_public_complete_match_route_count,s8_public_complete_match_route_share,s8_public_all_routes_have_some_complete_match_phase,s8_public_any_route_has_some_complete_match_phase,s8_public_roundtrip_route_count,s8_public_roundtrip_complete_match_route_share,s8_public_roundtrip_best_complete_gap_min_min,s8_public_roundtrip_best_complete_gap_min_max,s8_public_roundtrip_worst_complete_gap_min_min,s8_public_roundtrip_worst_complete_gap_min_max,s8_public_rail_to_bus_only_route_count,s8_public_rail_to_bus_only_complete_match_route_share,s8_extension_route_count,s8_extension_complete_match_route_share,s8_extension_all_routes_have_some_complete_match_phase,s8_extension_any_route_has_some_complete_match_phase,reference_budget_robust_all_recoveries,structural_shortlist,frequent_service_30min_or_better,extension_access_realised,weighted_composite_score_used,worker_reference_assigned_to_routes,s8_phase_selected,joint_vehicle_block_timetable_feasibility_evaluated,exact_timetable_constructed,topology_ranked,service_policy_selected,primary_selected,runner_up_selected,plan_level_frontier_classes,base_access_realised,extension_upper_bound_only,plan_level_ranked,exact_timetable_required_next
P2PLAN_89c6440e8907cba2,P2_5f0a3d71d67305a7,scheduled_extensions,EXTENSION_UPPER_BOUND,30,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,0.25,4458.934123152500,0.195388694517,Brivio,0.000000000000,2,134.000000000,5544.823045572175,0.242971909043,Brivio,0.000050341214,6,447.000000000,7.756623683,12.492723261,90597.364623,1,1,1,0,1,0,1,1,1.000000000,true,true,1,1.000000000,19.446231039,19.446231039,19.446231039,19.446231039,0,,1,1.000000000,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,EXTENSION_UPPER_BOUND_FREQUENT_30;EXTENSION_UPPER_BOUND_UNRESTRICTED,false,true,false,true
P2PLAN_8a126c58a76a7406,P2_1d3055b9e88d525d,scheduled_extensions,EXTENSION_UPPER_BOUND,15,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,0.25,3211.794654452889,0.140739546102,Brivio,0.000000000000,0,0.000000000,4172.490484783842,0.182836849837,La Valletta Brianza,0.009189912991,2,221.000000000,4.241175173,7.211557340,99073.852030,1,2,2,0,1,0,1,1,1.000000000,true,true,1,1.000000000,10.369352441,10.369352441,13.146982622,13.146982622,0,,1,1.000000000,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,EXTENSION_UPPER_BOUND_FREQUENT_30;EXTENSION_UPPER_BOUND_UNRESTRICTED,false,true,false,true
P2PLAN_8a188b0269168b8a,P2_5f81356056df50eb,hybrid_interlined,PUBLIC,30,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_6_DAY_52_WEEK,312,0.00,6401.095395636682,0.280493417998,Brivio,0.000000000000,6,447.000000000,6401.095395636682,0.280493417998,Brivio,0.000000000000,6,447.000000000,9.153170922,15.252931371,105664.205124,1,2,2,0,2,0,2,0,0.000000000,false,false,2,0.000000000,,,,,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
P2PLAN_8ac1a2166b6bd144,P2_455581bfa0cad4ab,single_compact_loop,PUBLIC,60,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,0.00,5112.979715535079,0.224048708529,Santa Maria Hoè,0.093473095134,12,753.000000000,5112.979715535079,0.224048708529,Santa Maria Hoè,0.093473095134,12,753.000000000,15.466441579,27.223062488,90324.018821,1,1,1,2,1,2,1,1,1.000000000,true,true,1,1.000000000,17.925663230,17.925663230,27.370402869,27.370402869,0,,0,,,,true,true,false,false,false,false,false,false,false,false,false,false,false,BASE_UNRESTRICTED,true,false,false,true
P2PLAN_8ae737142a5c4262,P2_e4b92caba131562a,single_compact_loop,PUBLIC,20,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,0.00,4256.982928783476,0.186539274648,La Valletta Brianza,0.000000000000,4,643.000000000,4256.982928783476,0.186539274648,La Valletta Brianza,0.000000000000,4,643.000000000,6.214775930,10.629073297,108882.874294,1,2,2,2,0,2,1,1,1.000000000,true,true,1,1.000000000,9.926164733,9.926164733,13.074411279,13.074411279,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
P2PLAN_8b5c4bf105329f50,P2_fd5324f36483c13a,scheduled_extensions,EXTENSION_UPPER_BOUND,20,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,0.25,3211.794654452889,0.140739546102,Brivio,0.000000000000,0,0.000000000,5156.417569931354,0.225952137786,La Valletta Brianza,0.009189912991,2,139.000000000,5.698026161,10.206541855,99829.418349,1,2,2,0,1,0,1,1,1.000000000,true,true,1,1.000000000,10.971105895,10.971105895,12.822859349,12.822859349,0,,1,1.000000000,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,EXTENSION_UPPER_BOUND_FREQUENT_30;EXTENSION_UPPER_BOUND_UNRESTRICTED,false,true,false,true
P2PLAN_8c1f793de6093335,P2_a44745e961005b24,single_compact_loop,PUBLIC,20,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_5_DAY_52_WEEK,260,0.00,6351.503430600282,0.278320318096,Brivio,0.000000000000,2,221.000000000,6351.503430600282,0.278320318096,Brivio,0.000000000000,2,221.000000000,7.093166800,16.606866149,102354.396924,2,2,2,2,2,2,1,0,0.000000000,false,false,1,0.000000000,,,,,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
P2PLAN_8cd30aa0df5357d2,P2_83df62ba410ac17c,two_radial_out_and_back_feeders,PUBLIC,30,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_DAILY_YEAR,365,0.00,4756.236167303790,0.208416350158,Brivio,0.000465712767,0,0.000000000,4756.236167303790,0.208416350158,Brivio,0.000465712767,0,0.000000000,5.697547748,12.969824297,76945.382337,1,2,2,1,1,1,2,0,0.000000000,false,false,2,0.000000000,,,,,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
P2PLAN_8cd8b471e9564f99,P2_5f225220788821cf,scheduled_extensions,PUBLIC,60,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,0.25,4328.243442782601,0.189661881624,Brivio,0.000000000000,2,221.000000000,4675.152356512549,0.204863290279,Brivio,0.000000000000,2,221.000000000,3.433212839,5.911406752,20049.962983,1,1,1,0,1,0,1,1,1.000000000,true,true,1,1.000000000,23.509255009,23.509255009,29.064515370,29.064515370,0,,1,1.000000000,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,EXTENSION_UPPER_BOUND_UNRESTRICTED,false,true,false,true
P2PLAN_8d0436a95abf8195,P2_e4b92caba131562a,single_compact_loop,PUBLIC,15,CORE_0600_2200,360,1320,960,IDEALISED_5_DAY_52_WEEK,260,0.00,4256.982928783476,0.186539274648,La Valletta Brianza,0.000000000000,4,643.000000000,4256.982928783476,0.186539274648,La Valletta Brianza,0.000000000000,4,643.000000000,6.214775930,10.629073297,103413.871475,2,2,2,2,0,2,1,1,1.000000000,true,true,1,1.000000000,10.250288006,10.250288006,10.250288006,10.250288006,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
