anchor_id,anchor_class,source_record_id,source_name,lon,lat,routes_serving,epistemic_status,source_detail,proposed_stop_status,seed_precompute,graph_node_id,snap_distance_m,snap_status,included_in_reduced_graph,epoch_id,procom,municipality_name,analysis_role,equity_scope
gtfs:ARRIVA_ADDABUS:300506,OFFICIAL_GTFS_BUS_STOP,300506,Calolziocorte - sala p.livello,9.442033,45.784267,D140;VCB,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534360.54:5070171.54,1.993038898,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097013,Calolziocorte,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300523,OFFICIAL_GTFS_BUS_STOP,300523,Olginate - la fiorita,9.42444,45.78051,D150;D151,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:533003.61:5069741.58,11.119989526,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097059,Olginate,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300527,OFFICIAL_GTFS_BUS_STOP,300527,Airuno - elettroadda,9.423283,45.741333,D148;D150,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532929.94:5065402.33,6.978211387,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300528,OFFICIAL_GTFS_BUS_STOP,300528,Calco - arlate - (provinciale),9.443967,45.7235,D150;D170,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534549.56:5063427.02,4.211454497,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097012,Calco,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300529,OFFICIAL_GTFS_BUS_STOP,300529,Imbersago - madonna bosco,9.443967,45.714867,D150;D170,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534561.61:5062457.01,10.606618721,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097039,Imbersago,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300530,OFFICIAL_GTFS_BUS_STOP,300530,Merate - cicognola,9.407667,45.709133,D148;D150,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:531736.76:5061813.71,5.510635116,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097048,Merate,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300634,OFFICIAL_GTFS_BUS_STOP,300634,Calco - via Nazionale,9.417783,45.7296,D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532499.08:5064091.41,8.201610561,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097012,Calco,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300638,OFFICIAL_GTFS_BUS_STOP,300638,Olginate - fornasette,9.424767,45.7686,D150,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:533027.18:5068353.33,72.281423968,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097059,Olginate,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300670,OFFICIAL_GTFS_BUS_STOP,300670,Calolziocorte - sala (lavatoio),9.443133,45.789617,D140;VCB,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534442.22:5070749.67,18.735145346,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097013,Calolziocorte,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300718,OFFICIAL_GTFS_BUS_STOP,300718,Imbersago - piazza garibaldi,9.44927,45.70544,D170,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534989.81:5061416.72,17.792882625,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097039,Imbersago,CONTEXT,CONTEXT_ONLY
