budget_suffix,budget_change_fraction,budget_cap_annual_bus_km,policy_id,uniform_headway_min,span_id,calendar_id,annual_service_days,recovery_min,extension_share,service_ready_candidate_count,budget_feasible_candidate_count,frontier_scenario_count,frontier_family_counts_json
m20pct,-0.2,89135.20000000001,SP2_d1991768b13319,30,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,5,0.0,2747,833,833,"{""blank_slate"": 51, ""hybrid_interlined"": 62, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 10, ""single_compact_loop"": 51, ""trunk_plus_branches"": 10, ""two_radial_out_and_back_feeders"": 62}"
m20pct,-0.2,89135.20000000001,SP2_dd53e8d01afe83,30,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,10,0.0,2747,833,833,"{""blank_slate"": 51, ""hybrid_interlined"": 62, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 10, ""single_compact_loop"": 51, ""trunk_plus_branches"": 10, ""two_radial_out_and_back_feeders"": 62}"
m20pct,-0.2,89135.20000000001,SP2_92a2a6c07d08ae,30,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,15,0.0,2747,833,833,"{""blank_slate"": 51, ""hybrid_interlined"": 62, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 10, ""single_compact_loop"": 51, ""trunk_plus_branches"": 10, ""two_radial_out_and_back_feeders"": 62}"
m20pct,-0.2,89135.20000000001,SP2_1d3fb14c8469f3,30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,5,0.0,2500,855,855,"{""blank_slate"": 79, ""hybrid_interlined"": 33, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 22, ""single_compact_loop"": 79, ""trunk_plus_branches"": 22, ""two_radial_out_and_back_feeders"": 33}"
m20pct,-0.2,89135.20000000001,SP2_6339bb251142f3,30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,10,0.0,2500,855,855,"{""blank_slate"": 79, ""hybrid_interlined"": 33, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 22, ""single_compact_loop"": 79, ""trunk_plus_branches"": 22, ""two_radial_out_and_back_feeders"": 33}"
m20pct,-0.2,89135.20000000001,SP2_aa08c3b0cdc0bc,30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,15,0.0,2500,855,855,"{""blank_slate"": 79, ""hybrid_interlined"": 33, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 22, ""single_compact_loop"": 79, ""trunk_plus_branches"": 22, ""two_radial_out_and_back_feeders"": 33}"
m20pct,-0.2,89135.20000000001,SP2_8c0e369670f0c1,30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,5,0.0,2500,759,759,"{""blank_slate"": 52, ""hybrid_interlined"": 21, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 13, ""single_compact_loop"": 52, ""trunk_plus_branches"": 13, ""two_radial_out_and_back_feeders"": 21}"
m20pct,-0.2,89135.20000000001,SP2_d2742eb2283a8f,30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,10,0.0,2500,759,759,"{""blank_slate"": 52, ""hybrid_interlined"": 21, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 13, ""single_compact_loop"": 52, ""trunk_plus_branches"": 13, ""two_radial_out_and_back_feeders"": 21}"
m20pct,-0.2,89135.20000000001,SP2_5d22d2fca626aa,30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,15,0.0,2500,759,759,"{""blank_slate"": 52, ""hybrid_interlined"": 21, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 13, ""single_compact_loop"": 52, ""trunk_plus_branches"": 13, ""two_radial_out_and_back_feeders"": 21}"
m20pct,-0.2,89135.20000000001,SP2_0112d8b032fba1,30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,5,0.0,2500,695,695,"{""blank_slate"": 33, ""hybrid_interlined"": 15, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 6, ""single_compact_loop"": 33, ""trunk_plus_branches"": 6, ""two_radial_out_and_back_feeders"": 15}"
m20pct,-0.2,89135.20000000001,SP2_255d3f61ee8fba,30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,10,0.0,2500,695,695,"{""blank_slate"": 33, ""hybrid_interlined"": 15, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 6, ""single_compact_loop"": 33, ""trunk_plus_branches"": 6, ""two_radial_out_and_back_feeders"": 15}"
m20pct,-0.2,89135.20000000001,SP2_b36c48ee87a5c4,30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,15,0.0,2500,695,695,"{""blank_slate"": 33, ""hybrid_interlined"": 15, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 6, ""single_compact_loop"": 33, ""trunk_plus_branches"": 6, ""two_radial_out_and_back_feeders"": 15}"
m20pct,-0.2,89135.20000000001,SP2_9bca1c316f024a,60,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,5,0.0,2747,2024,2024,"{""bidirectional_loop_pair"": 7, ""blank_slate"": 310, ""hybrid_interlined"": 157, ""interlined_figure8"": 94, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 154, ""single_compact_loop"": 310, ""trunk_plus_branches"": 154, ""two_independent_loops"": 94, ""two_radial_out_and_back_feeders"": 157}"
m20pct,-0.2,89135.20000000001,SP2_d26fac223259c2,60,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,10,0.0,2747,2024,2024,"{""bidirectional_loop_pair"": 7, ""blank_slate"": 310, ""hybrid_interlined"": 157, ""interlined_figure8"": 94, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 154, ""single_compact_loop"": 310, ""trunk_plus_branches"": 154, ""two_independent_loops"": 94, ""two_radial_out_and_back_feeders"": 157}"
m20pct,-0.2,89135.20000000001,SP2_4c05d6a42eb111,60,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,15,0.0,2747,2024,2024,"{""bidirectional_loop_pair"": 7, ""blank_slate"": 310, ""hybrid_interlined"": 157, ""interlined_figure8"": 94, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 154, ""single_compact_loop"": 310, ""trunk_plus_branches"": 154, ""two_independent_loops"": 94, ""two_radial_out_and_back_feeders"": 157}"
m20pct,-0.2,89135.20000000001,SP2_a853dd1cb8e0fa,60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,5,0.0,2747,1723,1723,"{""bidirectional_loop_pair"": 6, ""blank_slate"": 258, ""hybrid_interlined"": 155, ""interlined_figure8"": 28, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 124, ""single_compact_loop"": 258, ""trunk_plus_branches"": 124, ""two_independent_loops"": 28, ""two_radial_out_and_back_feeders"": 155}"
m20pct,-0.2,89135.20000000001,SP2_7cbb3e1bcc2352,60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,10,0.0,2747,1723,1723,"{""bidirectional_loop_pair"": 6, ""blank_slate"": 258, ""hybrid_interlined"": 155, ""interlined_figure8"": 28, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 124, ""single_compact_loop"": 258, ""trunk_plus_branches"": 124, ""two_independent_loops"": 28, ""two_radial_out_and_back_feeders"": 155}"
m20pct,-0.2,89135.20000000001,SP2_7b91e9a903e0a0,60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,15,0.0,2747,1723,1723,"{""bidirectional_loop_pair"": 6, ""blank_slate"": 258, ""hybrid_interlined"": 155, ""interlined_figure8"": 28, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 124, ""single_compact_loop"": 258, ""trunk_plus_branches"": 124, ""two_independent_loops"": 28, ""two_radial_out_and_back_feeders"": 155}"
m20pct,-0.2,89135.20000000001,SP2_a823dd523f08e6,60,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,5,0.0,2747,1555,1555,"{""bidirectional_loop_pair"": 4, ""blank_slate"": 221, ""hybrid_interlined"": 155, ""interlined_figure8"": 8, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 98, ""single_compact_loop"": 221, ""trunk_plus_branches"": 98, ""two_independent_loops"": 8, ""two_radial_out_and_back_feeders"": 155}"
m20pct,-0.2,89135.20000000001,SP2_c4cb18979d263d,60,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,10,0.0,2747,1555,1555,"{""bidirectional_loop_pair"": 4, ""blank_slate"": 221, ""hybrid_interlined"": 155, ""interlined_figure8"": 8, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 98, ""single_compact_loop"": 221, ""trunk_plus_branches"": 98, ""two_independent_loops"": 8, ""two_radial_out_and_back_feeders"": 155}"
m20pct,-0.2,89135.20000000001,SP2_c9a716810e0524,60,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,15,0.0,2747,1555,1555,"{""bidirectional_loop_pair"": 4, ""blank_slate"": 221, ""hybrid_interlined"": 155, ""interlined_figure8"": 8, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 98, ""single_compact_loop"": 221, ""trunk_plus_branches"": 98, ""two_independent_loops"": 8, ""two_radial_out_and_back_feeders"": 155}"
m20pct,-0.2,89135.20000000001,SP2_f27868b705e5d6,60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,5,0.0,2749,1793,1793,"{""bidirectional_loop_pair"": 6, ""blank_slate"": 274, ""hybrid_interlined"": 157, ""interlined_figure8"": 39, ""multiple_short_radials"": 11, ""scheduled_extensions"": 576, ""short_turn_overlay"": 130, ""single_compact_loop"": 274, ""trunk_plus_branches"": 130, ""two_independent_loops"": 39, ""two_radial_out_and_back_feeders"": 157}"
