budget_suffix,budget_change_fraction,budget_cap_annual_bus_km,timing_key,uniform_headway_min,span_id,scenario_id,frontier_policy_context_count,declared_policy_context_count_for_timing,frontier_in_all_declared_calendar_recovery_contexts,frontier_policy_ids,frontier_calendar_ids,frontier_recovery_min_values
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aa4f930eea345fb7,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aa9a0d577ac85982,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aa9e67d411cc5903,3,9,false,SP2_1cc2678358acd2|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aaad5e83f398982b,6,9,false,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aab91f3bdb2708a2,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aad10f9710dda26e,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aadb8bcaa14415fd,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aae06f1ae4218ade,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aae304b7042762ae,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_aafcdb7105f63b4b,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab03185e748e7f60,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab052c2af6f30058,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab0c909cb4a15cbe,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab199fcf12c7df9c,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab3fbc631a5934ca,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab7176a67ac98ee4,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
