procom_res,procom_lav,pendolari
097012,016006,4
097012,016009,1
097012,016016,1
097012,016024,13
097012,016034,6
097012,016038,5
097012,016046,9
097012,016052,3
097012,016057,4
097012,016062,1
097012,016068,1
097012,016072,1
097012,016073,1
097012,016074,38
097012,016076,2
097012,016084,1
097012,016089,1
097012,016091,1
097012,016096,1
097012,016098,1
097012,016114,1
097012,016117,1
097012,016126,2
097012,016132,1
097012,016150,1
097012,016169,1
097012,016170,1
097012,016171,3
097012,016172,1
097012,016194,1
097012,016198,1
097012,016203,1
097012,016207,3
097012,016209,4
097012,016213,5
097012,016224,1
097012,016232,1
097012,016238,2
097012,016245,1
097012,016246,1
097012,016250,2
097012,017002,1
097012,017015,1
097012,017029,1
097012,017117,1
097012,017137,1
097012,017184,1
097012,018140,1
097012,019025,1
097012,024008,1
097012,024083,1
097012,097002,12
097012,097003,4
097012,097005,9
097012,097006,11
097012,097009,7
097012,097010,89
097012,097011,10
097012,097012,279
097012,097013,31
097012,097016,11
097012,097017,5
097012,097019,12
097012,097020,53
097012,097021,2
097012,097022,7
097012,097023,1
097012,097024,5
097012,097026,7
097012,097028,5
097012,097031,11
097012,097036,8
097012,097037,6
097012,097038,15
097012,097039,13
097012,097042,124
097012,097044,46
097012,097046,1
097012,097048,205
097012,097049,17
097012,097051,4
097012,097052,4
097012,097053,7
097012,097054,14
097012,097056,3
097012,097057,20
097012,097058,120
097012,097059,22
097012,097061,60
097012,097062,9
097012,097068,7
097012,097071,37
097012,097074,24
097012,097075,9
097012,097076,7
097012,097078,1
097012,097082,7
097012,097083,11
097012,097091,30
097012,097092,36
097012,098031,1
097012,098055,1
097012,108001,20
097012,108002,2
097012,108003,2
097012,108004,8
097012,108006,9
097012,108007,9
097012,108008,10
097012,108009,2
097012,108011,1
097012,108012,7
097012,108013,7
097012,108014,2
097012,108015,6
097012,108016,5
097012,108020,1
097012,108021,8
097012,108023,4
097012,108024,3
097012,108026,1
097012,108027,1
097012,108028,10
097012,108031,1
097012,108032,1
097012,108033,48
097012,108036,6
097012,108038,15
097012,108039,5
097012,108042,2
097012,108043,4
097012,108044,19
097012,108047,7
097012,108048,1
097012,108049,2
097012,108050,39
097012,108051,2
097012,108052,2
