stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
300640,300640,Galbiate - cimitero bivio garlate,"",45.813233,9.377417,"",0,
300641,300641,Lecco - ospedale manzoni,"",45.852333,9.413533,300051,0,
300650,300650,Casatenovo - crotta,"",45.690710,9.315530,300354,0,
300651,300651,Casatenovo - bracchi,"",45.680400,9.343640,300354,0,
300653,300653,Casate Rogoredo,"",45.676250,9.317450,300354,0,
300657,300657,Lecco - largo europa,"",45.853767,9.388500,300051,0,
300658,300658,Mandello lario - asl,"",45.917850,9.322800,300164,0,
300659,300659,Mandello lario - bellavista,"",45.921417,9.325517,300164,0,
300660,300660,Mandello lario - bivio per rongio,"",45.920733,9.327783,300168,0,
300661,300661,Mandello lario - maggiana,"",45.915600,9.330100,300661,0,
300663,300663,Tremenico - Avano,"",46.076060,9.373970,300663,0,
300664,300664,Lecco - via don pozzi,"",45.861183,9.398933,300051,0,
300666,300666,Cremeno - Via Combi (Ex Clubino),"",45.935010,9.472010,300666,0,
300667,300667,Taceno - camping rocce rosse,"",46.018083,9.367400,300006,0,
300670,300670,Calolziocorte - sala (lavatoio),"",45.789617,9.443133,300069,0,
300671,300671,Missaglia - barriano,"",45.703700,9.345770,300328,0,
300672,300672,Missaglia - maresso,"",45.688480,9.353140,300909,0,
300679,300679,Carnate - stazione f.s.,"",45.652900,9.376570,300773,0,
300680,300680,"Vimercate - via diaz, 26 (rugginello)","",45.626910,9.387870,300680,0,
300693,300693,"Colico - via al Boscone, 44","",46.138440,9.388280,300693,0,
300694,300694,Colico - via Chiaro (incr.via Latteria),"",46.131330,9.391260,300694,0,
300699,300699,Casatenovo - galgiana (via buttafava),"",45.689960,9.326220,300354,0,
300701,300701,Casatenovo - valaperta (chiesa s.carlo),"",45.675320,9.350750,300354,0,
300703,300703,"Colico - via alla Chiesa, 19","",46.137220,9.396000,300703,0,
300704,300704,"Colico - via Campione, 56","",46.131880,9.378580,300704,0,
300705,300705,"Colico - via Palerma, 8","",46.136260,9.391800,300705,0,
300710,300710,Merate - via de gasperi,"",45.693890,9.417630,300291,0,
300713,300713,Olgiasca,"",46.116050,9.316230,"",0,
300714,300714,Laghetto - scuole,"",46.123240,9.354510,"",0,
300718,300718,Imbersago - piazza garibaldi,"",45.705440,9.449270,300718,0,
300720,300720,Laghetto - chiesa,"",46.124070,9.358820,"",0,
300721,300721,Colico - via dei Notai,"",46.124330,9.361900,300721,0,
300722,300722,Bulciago - via statale,"",45.752420,9.291010,300722,0,
300724,300724,Cassago - centro,"",45.739010,9.292400,300724,0,
300728,300728,Olgiate Molgora - via statale,"",45.728633,9.400417,300407,0,
300729,300729,Calco - via virgilio (pensilina asf),"",45.725017,9.409950,300089,0,
300736,300736,Cremella - via don colombo,"",45.739500,9.303460,300346,0,
300743,300743,Calco - arlate (cimitero),"",45.723770,9.440970,300528,0,
300744,300744,Imbersago - sabbione,"",45.711720,9.440520,300744,0,
