route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
D185,00A7F5NR2026010120260608000002,A2013327-0027-50088,Caprino - piazza marconi,0027,1,,+++E03++012
VCB,000AFER52026010120260608000002,A2013327-0013-50089,Vercurago - cimitero,0013,1,,+++CBI+++12
VCB,000AFER52026010120260608000002,A2013327-0014-50090,Calolziocorte - stazione f.s.,0014,0,,+++CBI++271
VCB,000AFER52026010120260608000002,A2013327-0010-50091,Monte Marenzo - bisone,0010,0,,+++CBI++281
VCB,000AFER52026010120260608000002,A2013327-0015-50092,Vercurago - cimitero,0015,1,,+++CBI+++12
VCB,000AFER52026010120260608000002,A2013327-0028-50093,Calolziocorte - stazione f.s.,0028,0,,+++CBI++271
VCB,000AFER52026010120260608000002,A2013327-0024-50094,Monte Marenzo - bisone,0024,0,,+++CBI++281
D170,000AFER52026010120260608000002,A2013327-0222-50095,Carnate - stazione f.s.,0222,0,,+++D70++391
D121,000SFER52026010120260608000002,A2013327-0068-50098,Esino lario (albergo la lucciola),0068,0,,+++D21+++61
D121,000SFER62026010120260608000002,A2013327-0099-50099,Esino lario - piazza italia,0099,1,,+++D21+++72
D121,000SFER52026010120260608000002,A2013327-0101-50100,Bellano - stazione f.s.,0101,1,,+++D21++012
D121,000SFSAB2026010120260608000002,A2013327-0103-50102,Bellano - stazione f.s.,0103,1,,+++D21++012
D126,000SFER52026010120260608000002,A2013327-0030-50103,Vendrogno,0030,0,,+++D26+++11
D126,00VIFER52026010120260608000002,A2013327-0030-50104,Vendrogno,0030,0,,+++D26+++11
D126,000SFER52026010120260608000002,A2013327-0023-50105,Bellano - stazione f.s.,0023,1,,+++D26+++12
D121,000SFER62026010120260608000002,A2013327-0011-50124,Bellano - stazione f.s.,0011,1,,+++D21++012
D160,000SFSAB2026010120260608000002,A2013327-0116-50126,Casatenovo - comune,0116,0,,+++D60++171
D155,000SFER62026010120260608000002,A2013327-0042-50132,Annone Brianza - posta,0042,0,,+++D55++161
VCB,000SFER62026010120260608000002,A2013327-0007-50133,Calolziocorte - scuole superiori,0007,1,,+++CBI+++92
D121,000SFER62026010120260608000002,A2013327-0029-50135,Varenna - stazione f.s.,0029,1,,+++D21++032
D125,000SFER62026010120260608000002,A2013327-0005-50137,Bellano - stazione f.s.,0005,1,,+++D25++072
D150,000SFER52026010120260608000002,A2013327-0052-50138,"Calco - via nazionale, 85",0052,0,,+++D50++581
D170,000SFER62026010120260608000002,A2013327-0014-50140,Carnate - stazione f.s.,0014,0,,+++D70++781
D127,000SFER62026010120260608000002,A2013327-0074-50152,Bellano - stazione f.s.,0074,0,,+++D27++201
D185,00VSFER62026010120260608000002,A2013327-0052-50202,Olgiate Molgora - stazione f.s.,0052,0,,+++E03++051
D140,000SFER52026010120260608000002,A2013327-0027-50204,Calolziocorte - stazione f.s.,0027,1,,+++D40++052
D140,000SFER62026010120260608000002,A2013327-0014-50205,Cisano - stazione f.s.,0014,0,,+++D40++101
D140,000SFER62026010120260608000002,A2013327-0009-50206,Calolziocorte - stazione f.s.,0009,1,,+++D40++042
VCB,000AFER62026010120260608000002,A2013327-0058-50207,Monte Marenzo - bisone,0058,0,,+++CBI++281
VCB,000AFER62026010120260608000002,A2013327-0039-50208,Vercurago - cimitero,0039,1,,+++CBI+++12
VCB,000AFER62026010120260608000002,A2013327-0036-50209,Monte Marenzo - bisone,0036,0,,+++CBI+++71
D185,000SFER62026010120260608000002,A2013327-0015-50210,Caprino - piazza marconi,0015,1,,+++E03++012
D185,000SFER52026010120260608000002,A2013327-0036-50214,Cisano - corso mazzini,0036,0,50665,+++E03++031
D121,000SFER62026010120260608000002,A2013327-0020-50309,Esino lario - piazza italia,0020,0,,+++D21++011
D135,000SFLUN2026010120260608000002,A2013327-0131-50334,Barzio - bar garden,0131,1,,+++D35++862
D121,000SFER62026010120260608000002,A2013327-0080-50344,Esino lario - piazza italia,0080,0,,+++D21++011
D121,000SFER62026010120260608000002,A2013327-0065-50345,Esino lario - piazza italia,0065,1,,+++D21+++72
D121,000SFER62026010120260608000002,A2013327-0027-50346,Varenna - stazione f.s.,0027,1,,+++D21++032
D121,000SFER62026010120260608000002,A2013327-0046-50347,Esino lario - piazza italia,0046,0,,+++D21++031
D185,000IFER62026010120260608000002,A2013327-0018-50351,Olgiate Molgora - stazione f.s.,0018,0,,+++E03++051
