service_id,date,exception_type
000AFER52026010120260608000002,20260202,1
000AFER62026010120260608000002,20260202,1
000IF6IL2026010120260608000002,20260202,1
000IFER52026010120260608000002,20260202,1
000IFER62026010120260608000002,20260202,1
000SF1352026010120260608000002,20260202,1
000SFER52026010120260608000002,20260202,1
000SFER62026010120260608000002,20260202,1
000SFLUN2026010120260608000002,20260202,1
00A7F5NR2026010120260608000002,20260202,1
00A7F6NR2026010120260608000002,20260202,1
00A8F5NA2026010120260608000002,20260202,1
00A8F6LC2026010120260608000002,20260202,1
00A8F6NA2026010120260608000002,20260202,1
0O-4FER52026010120260608000002,20260202,1
000AFER52026010120260608000002,20260203,1
000AFER62026010120260608000002,20260203,1
000AFMAR2026010120260608000002,20260203,1
000IF6IL2026010120260608000002,20260203,1
000IFER52026010120260608000002,20260203,1
000IFER62026010120260608000002,20260203,1
000SF-1.2026010120260608000002,20260203,1
000SF24.2026010120260608000002,20260203,1
000SF2462026010120260608000002,20260203,1
000SFER52026010120260608000002,20260203,1
000SFER62026010120260608000002,20260203,1
00A7F5NR2026010120260608000002,20260203,1
00A7F6NR2026010120260608000002,20260203,1
00A8F5NA2026010120260608000002,20260203,1
00A8F6LC2026010120260608000002,20260203,1
00A8F6NA2026010120260608000002,20260203,1
0O-4FER52026010120260608000002,20260203,1
000AF-2.2026010120260608000002,20260204,1
000AFER52026010120260608000002,20260204,1
000AFER62026010120260608000002,20260204,1
000IF6IL2026010120260608000002,20260204,1
000IFER52026010120260608000002,20260204,1
000IFER62026010120260608000002,20260204,1
000SF-1.2026010120260608000002,20260204,1
000SF1352026010120260608000002,20260204,1
000SFER52026010120260608000002,20260204,1
000SFER62026010120260608000002,20260204,1
00A7F5NR2026010120260608000002,20260204,1
00A7F6NR2026010120260608000002,20260204,1
00A8F5NA2026010120260608000002,20260204,1
00A8F6LC2026010120260608000002,20260204,1
00A8F6NA2026010120260608000002,20260204,1
0O-4FER52026010120260608000002,20260204,1
000AF-2.2026010120260608000002,20260205,1
000AFER52026010120260608000002,20260205,1
000AFER62026010120260608000002,20260205,1
000IF6IL2026010120260608000002,20260205,1
000IFER52026010120260608000002,20260205,1
000IFER62026010120260608000002,20260205,1
000SF-1.2026010120260608000002,20260205,1
000SF24.2026010120260608000002,20260205,1
000SF2462026010120260608000002,20260205,1
000SFER52026010120260608000002,20260205,1
000SFER62026010120260608000002,20260205,1
000SFGIO2026010120260608000002,20260205,1
00A7F5NR2026010120260608000002,20260205,1
00A7F6NR2026010120260608000002,20260205,1
00A8F5NA2026010120260608000002,20260205,1
00A8F6LC2026010120260608000002,20260205,1
00A8F6NA2026010120260608000002,20260205,1
0O-4FER52026010120260608000002,20260205,1
