scenario_id,topology_family,seed_name,public_route_count,optional_extension_count,public_explicit_anchor_count,extension_explicit_anchor_count,public_intercepted_anchor_count,extension_intercepted_anchor_count,public_intercepted_existing_stop_count,public_intercepted_proposed_stop_count,extension_intercepted_existing_stop_count,extension_intercepted_proposed_stop_count,public_leg_count,public_distance_km,public_runtime_min,public_resolved_leg_count,public_quantified_leg_count,public_unknown_leg_count,public_resolved_distance_km,public_quantified_distance_km,public_unknown_distance_km,extension_leg_count,extension_distance_km,extension_runtime_min,extension_resolved_leg_count,extension_quantified_leg_count,extension_unknown_leg_count,extension_resolved_distance_km,extension_quantified_distance_km,extension_unknown_distance_km
P2_310d66c7baea1249,two_radial_out_and_back_feeders,,2,0,3,0,11,0,6,4,0,0,4,12.365806549000002,23.369801572,0,4,0,0.0,12.365806549000002,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3115fc132ed75ab6,two_radial_out_and_back_feeders,,2,0,3,0,14,0,1,12,0,0,4,17.04004692,36.48117111,0,4,0,0.0,17.04004692,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31195f62c9248bb5,two_radial_out_and_back_feeders,,2,0,3,0,10,0,5,4,0,0,4,21.731228172,43.543377732,0,4,0,0.0,21.731228172,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_311b6f6755320537,two_radial_out_and_back_feeders,,2,0,3,0,7,0,1,5,0,0,4,14.427539258,28.280109507,0,4,0,0.0,14.427539258,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_312e589ffebf531a,two_radial_out_and_back_feeders,,2,0,3,0,7,0,1,5,0,0,4,25.209716570999998,54.692138664999995,0,4,0,0.0,25.209716570999998,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31307658cf93d3cb,two_radial_out_and_back_feeders,,2,0,3,0,6,0,3,2,0,0,4,8.088930937,17.384239436999998,0,4,0,0.0,8.088930937,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_313273aa3f4d9378,two_radial_out_and_back_feeders,,2,0,3,0,4,0,1,2,0,0,4,15.062126294,28.586388388,0,4,0,0.0,15.062126294,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3134e5543f382ad8,two_radial_out_and_back_feeders,,2,0,3,0,11,0,5,5,0,0,4,19.388628345999997,40.367711985,0,4,0,0.0,19.388628345999997,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_313730bc1543cdf6,two_radial_out_and_back_feeders,,2,0,3,0,3,0,1,1,0,0,4,4.222103824,11.659990504,0,4,0,0.0,4.222103824,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_313b463001269d33,two_radial_out_and_back_feeders,,2,0,3,0,8,0,4,3,0,0,4,10.352197306999999,20.356756324000003,0,4,0,0.0,10.352197306999999,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
