physical_cluster_id,threshold_min,population_reachable_building_model,population_total_posas_2025,population_located_building_pieces,population_residual_unlocated,population_unit_count,gtfs_records_used_as_sources,epistemic_status
EX_017,10,0.0,22914.0,22820.839937434386,93.16006256561045,0,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_017,12,0.0,22914.0,22820.839937434386,93.16006256561045,0,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_018,5,625.2849445892606,22914.0,22820.839937434386,93.16006256561045,121,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_018,8,1513.1926277347743,22914.0,22820.839937434386,93.16006256561045,262,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_018,10,2447.6043568924415,22914.0,22820.839937434386,93.16006256561045,397,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_018,12,3185.1711123516343,22914.0,22820.839937434386,93.16006256561045,526,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_019,5,618.4030237347336,22914.0,22820.839937434386,93.16006256561045,71,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_019,8,1765.7968661181076,22914.0,22820.839937434386,93.16006256561045,237,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_019,10,2430.475735340625,22914.0,22820.839937434386,93.16006256561045,336,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_019,12,3254.3995263312154,22914.0,22820.839937434386,93.16006256561045,491,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_020,5,520.8079425080423,22914.0,22820.839937434386,93.16006256561045,87,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
