population_unit_id,building_id,section_id,lat,lon,x_utm32,y_utm32,PRO_COM_T,COMUNE,building_piece_population_model,walk_min_to_nearest_existing_stop_v2,covered_5min,covered_8min,covered_10min,covered_12min,gap_5min,gap_8min,gap_10min,gap_12min,epistemic_status
20230101_000000::RLB-50e94623-c00f-4452-8591-fdafc642012f::SEC=970100000002,20230101_000000::RLB-50e94623-c00f-4452-8591-fdafc642012f,970100000002,45.73950186678311,9.44755350554615,534817.3640735408,5065202.414915601,097010,Brivio,1.0095343101180267,3.825969126393978,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-510c5243-8a11-4039-981a-9534df9d4353::SEC=970100000002,20230101_000000::RLB-510c5243-8a11-4039-981a-9534df9d4353,970100000002,45.739977882591354,9.447176145623727,534787.7118086228,5065255.136915602,097010,Brivio,9.848123587964755,4.303228906511464,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-514d11fc-7a80-4c28-aa26-013537eb4659::SEC=970100000002,20230101_000000::RLB-514d11fc-7a80-4c28-aa26-013537eb4659,970100000002,45.74245542647199,9.446618607630258,534742.8018801834,5065530.154015604,097010,Brivio,4.681961292615991,1.8229171431445865,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-54c406c1-7624-4c9a-9a0c-e7b5fe1f98df::SEC=970100000002,20230101_000000::RLB-54c406c1-7624-4c9a-9a0c-e7b5fe1f98df,970100000002,45.74190788435741,9.448223551095419,534867.9924393133,5065470.019415605,097010,Brivio,21.935268459933745,3.018736250021304,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-56256f20-0bce-4686-baf9-90beff7284e5::SEC=970100000002,20230101_000000::RLB-56256f20-0bce-4686-baf9-90beff7284e5,970100000002,45.74303831768379,9.449898667941705,534997.595934453,5065596.344015604,097010,Brivio,26.382667439165456,5.97740186384208,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-5ae6c133-9dbf-4a84-8534-209701740ae1::SEC=970100000002,20230101_000000::RLB-5ae6c133-9dbf-4a84-8534-209701740ae1,970100000002,45.74065137276915,9.4473405271506,534800.0813231317,5065330.034315601,097010,Brivio,15.49660129012217,3.254746404194351,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-5cf58e46-87ac-42a5-a201-09babc6d60eb::SEC=970100000002,20230101_000000::RLB-5cf58e46-87ac-42a5-a201-09babc6d60eb,970100000002,45.74349567345678,9.449429770147196,534960.8349395546,5065646.952015603,097010,Brivio,5.222258006466223,5.73800264568007,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-5e5fd85c-c189-454c-bafc-cfd38ef9f2f8::SEC=970100000002,20230101_000000::RLB-5e5fd85c-c189-454c-bafc-cfd38ef9f2f8,970100000002,45.741238861628005,9.447558585711276,534816.6796405313,5065395.400215602,097010,Brivio,6.63536834925802,2.6011845996361704,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-617456c0-246f-4c09-9be4-6843bde99347::SEC=970100000002,20230101_000000::RLB-617456c0-246f-4c09-9be4-6843bde99347,970100000002,45.741030289470245,9.448725508157208,534907.5873329502,5065372.736015601,097010,Brivio,16.075899559159186,3.1067065736380486,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-6c0acd93-a65a-48d2-bd88-761380b3dd9e::SEC=970100000002,20230101_000000::RLB-6c0acd93-a65a-48d2-bd88-761380b3dd9e,970100000002,45.74181403403134,9.447809316022601,534835.8268459316,5065459.412015602,097010,Brivio,11.852592896011108,2.345398235488846,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
