anchor_id,anchor_type,name,category,lat,lon,epistemic_status,source,x_utm32,y_utm32,walk_graph_node_id,walk_graph_connector_m,walk_graph_connector_min,walk_graph_snap_ok,current_walk_min,current_gap_10min
OSM_way_688624393,DESTINATION,"Scuola primaria ""Bartolomeo Calchi""",amenity:school,45.7267712,9.4186872,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,532579.1162289177,5063775.85999222,21291,36.879734507141144,0.4609966813392643,True,7.510701337130866,False
OSM_way_701042641,DESTINATION,Oratorio di Airuno,amenity:community_centre,45.7509965,9.4252791,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,533077.7410326937,5066470.0366086,22807,72.37142030832354,0.9046427538540442,True,15.787561003304498,True
OSM_way_833905178,DESTINATION,OSM amenity:community_centre 833905178,amenity:community_centre,45.7099909,9.4415674,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,534369.7684062421,5061921.117274932,26244,392.5463343020973,4.906829178776216,False,,True
OSM_way_1081561045,DESTINATION,Scuola dell'Infanzia,amenity:school,45.75408,9.4254304,FACT_OSM_OBSERVATION,data/raw/osm/osm_pois_core.json,533087.6867819423,5066812.682050334,23229,146.4935019498065,1.8311687743725813,True,29.58353848116366,True
OSM_POINT_62511518,SETTLEMENT,Brivio,village,45.7419691,9.4441423,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,534550.4680987542,5065475.049815023,26956,25.638914967647967,0.3204864370955996,True,2.362458957096638,False
OSM_POINT_62511556,SETTLEMENT,Calco,village,45.7248681,9.4159051,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,532363.7329909215,5063563.293900092,20649,9.752030250653254,0.12190037813316568,True,1.207717026645991,False
OSM_POINT_62511605,SETTLEMENT,Olgiate Molgora,village,45.730279,9.403347,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,531383.4922010229,5064159.450539827,17462,29.725502785461803,0.37156878481827255,True,3.5347618293811656,False
OSM_POINT_62512298,SETTLEMENT,Rovagnate,village,45.7385802,9.3695359,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,528748.4703064128,5065069.021538764,6372,24.669608465543234,0.3083701058192904,True,2.0934170365696785,False
OSM_POINT_62512404,SETTLEMENT,Airuno,village,45.75388,9.424247,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,532995.7662049158,5066789.972771759,22195,133.56482403339504,1.669560300417438,True,19.56546483905364,True
OSM_POINT_62512525,SETTLEMENT,Santa Maria Hoè,village,45.7443892,9.3750111,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,529171.3942377224,5065716.393665487,8353,41.228492183452445,0.5153561522931556,True,2.758820662710318,False
