stop_id,stop_name,stop_lon,stop_lat,official_routes_reference_gtfs,PRO_COM_T,source_scope,stop_type,epistemic_status,graph_node_id,snap_distance_m,snap_ok,stop_code,COMUNE,physical_cluster_id
300634,Calco - via Nazionale,9.417783,45.7296,D185,097012,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,20992,8.203334218921956,True,300634,Calco,EX_016
300638,Olginate - fornasette,9.424767,45.7686,D150,097010,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,22830,62.92841051489648,True,300638,Brivio,EX_017
300728,Olgiate Molgora - via statale,9.400417,45.728633,D148,097058,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,16669,17.695448603160752,True,300728,Olgiate Molgora,EX_018
300729,Calco - via virgilio (pensilina asf),9.40995,45.725017,D148|D185,097012,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,19365,9.610574414310925,True,300729,Calco,EX_019
300743,Calco - arlate (cimitero),9.44097,45.72377,D170,097012,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,25892,3.0689817088489217,True,300743,Calco,EX_020
300746,Merate - sartirana (cimitero),9.42384,45.71986,D170,097012,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,22471,5.065637064272881,True,300746,Calco,EX_021
300782,S.Maria Hoe',9.373817,45.744283,D184,097074,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,7735,8.113519851439193,True,300782,Santa Maria Ho̬,EX_022
300803,Olgiate Molgora - monticello scarpone,9.39027,45.73133,D184,097058,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,13592,5.233997832567628,True,300803,Olgiate Molgora,EX_023
300804,Rovagnate - la pesa,9.374517,45.73725,D184,097092,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,8018,5.077659002526833,True,300804,La Valletta Brianza,EX_024
300805,S.Maria Hoe' - tremonte,9.37837,45.7428,D184,097074,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,9415,5.150998046516226,True,300805,Santa Maria Ho̬,EX_025
