route_id,source_page,stop_sequence_on_page,stop_label_pdf,normalized_pdf_tokens,identity_status,historical_gtfs_stop_id,historical_gtfs_equivalent_stop_ids,historical_gtfs_equivalent_record_count,historical_gtfs_stop_name,historical_gtfs_stop_lat,historical_gtfs_stop_lon,historical_gtfs_name_candidate_count,historical_gtfs_name_candidate_ids,best_pattern_match_rows,tied_best_pattern_count,physical_cluster_id_v1,phase2_stop_name_v1,phase2_join_gtfs_stop_id,phase2_join_status,identity_evidence,current_service_epistemic_status,identity_epistemic_status
D150,2,11,VALGREGHENTINO,VALGREGHENTINO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,8,300081|300082|300521|300637|L00081|L00082|L00521|L00637,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,12,VILLA S.CARLO,VILLA|CARLO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300081|L00081,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,13,OLGINATE (Capiate),OLGINATE|CAPIATE,RESOLVED_ROUTE_NAME_UNIQUE,L00852,L00852,1,Olginate - sc capiate,45.780483,9.424583,1,L00852,0,0,,,,GTFS_IDENTIFIED_NOT_IN_V1_STOP_UNIVERSE,CURRENT_PRIMARY_PDF_LABEL_AND_ORDER_PLUS_VALIDITY_BOUNDED_HISTORICAL_OFFICIAL_GTFS,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,DERIVED_IDENTITY_CROSSCHECK_NOT_CURRENT_GTFS_SERVICE_FACT
D150,2,14,OLGINATE (P.Villa),OLGINATE|VILLA,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300080|L00080,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,15,OLGINATE (Chiesa),OLGINATE|CHIESA,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300079|L00079,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,16,OLGINATE (Ponte),OLGINATE|PONTE,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300080|L00080,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,17,CALOLZIO F.S.,CALOLZIO|FS,NO_HISTORICAL_GTFS_NAME_MATCH,,,0,,,,0,,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,18,CALOLZIO (Scuole),CALOLZIO|SCUOLE,RESOLVED_ROUTE_NAME_UNIQUE,300924,300924,1,Calolziocorte - scuole superiori,45.794090,9.431150,1,300924,0,0,,,,GTFS_IDENTIFIED_NOT_IN_V1_STOP_UNIVERSE,CURRENT_PRIMARY_PDF_LABEL_AND_ORDER_PLUS_VALIDITY_BOUNDED_HISTORICAL_OFFICIAL_GTFS,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,DERIVED_IDENTITY_CROSSCHECK_NOT_CURRENT_GTFS_SERVICE_FACT
D150,2,19,OLGINATE (Ponte),OLGINATE|PONTE,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300080|L00080,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,20,GARLATE (Municipio),GARLATE|MUNICIPIO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300078|L00078,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,21,GARLATE (Scuole),GARLATE|SCUOLE,NO_HISTORICAL_GTFS_NAME_MATCH,,,0,,,,0,,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,22,PESCATE (Torrette),PESCATE|TORRETTE,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300077|L00077,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,23,PESCATE (Terzo Ponte),PESCATE|TERZO|PONTE,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300076|L00076,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,24,PESCATE (Insirano),PESCATE|INSIRANO,AMBIGUOUS_HISTORICAL_GTFS,,,0,,,,2,300076|L00076,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,25,MALGRATE (Porto),MALGRATE|PORTO,NO_HISTORICAL_GTFS_NAME_MATCH,,,0,,,,0,,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
D150,2,26,LECCO FS (Via Sassi),LECCO|FS|VIA|SASSI,NO_HISTORICAL_GTFS_NAME_MATCH,,,0,,,,0,,0,0,,,,NO_RESOLVED_GTFS_IDENTITY,CURRENT_PRIMARY_PDF_LABEL_WITHOUT_UNIQUE_HISTORICAL_GTFS_IDENTITY,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE,UNRESOLVED_IDENTITY
