route_id,source_page,direction_heading,direction_origin,direction_terminal,stop_sequence_on_page,stop_label_pdf,service_context,source_url,source_pdf_sha256,epistemic_status
D150,1,LECCO→GARLATE→VALGREGHENTINO→MERATE,LECCO,MERATE,27,MERATE Scuole (Via De Gasperi),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,1,MERATE Scuole (Via De Gasperi),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,2,MERATE (P.zza Italia),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,3,CALCO,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,4,OLGIATE (Via Nazionale),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,5,IMBERSAGO,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,6,ARLATE,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,7,BRIVIO,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,8,BEVERATE,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,9,AIRUNO (Provinciale),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,10,AIRUNO (F.S.),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,11,VALGREGHENTINO,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,12,VILLA S.CARLO,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,13,OLGINATE (Capiate),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,14,OLGINATE (P.Villa),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,15,OLGINATE (Chiesa),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,16,OLGINATE (Ponte),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,17,CALOLZIO F.S.,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
