procom_res,origin_name,procom_lav,destination_name,workers,rank,category,share_of_origin_pct,cumulative_share_pct,rail_addressability,rail_evidence,feeder_objective_eligible,rail_semantics
097010,Brivio,016219,Treviglio,2,101,OTHER_EXTERNAL,0.120337,94.584838,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015221,Trezzo sull'Adda,2,102,OTHER_EXTERNAL,0.120337,94.705174,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015222,Tribiano,2,103,OTHER_EXTERNAL,0.120337,94.825511,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016224,Valbrembo,2,104,OTHER_EXTERNAL,0.120337,94.945848,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013004,Albese con Cassano,1,105,OTHER_EXTERNAL,0.060168,95.006017,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016008,Alzano Lombardo,1,106,OTHER_EXTERNAL,0.060168,95.066185,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013007,Alzate Brianza,1,107,OTHER_EXTERNAL,0.060168,95.126354,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016009,Ambivere,1,108,OTHER_EXTERNAL,0.060168,95.186522,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,024008,Arzignano,1,109,OTHER_EXTERNAL,0.060168,95.246691,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016018,Bagnatica,1,110,OTHER_EXTERNAL,0.060168,95.306859,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013250,Bellagio,1,111,OTHER_EXTERNAL,0.060168,95.367028,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108008,Besana in Brianza,1,112,OTHER_EXTERNAL,0.060168,95.427196,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016028,Bolgare,1,113,OTHER_EXTERNAL,0.060168,95.487365,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016031,Bonate Sotto,1,114,OTHER_EXTERNAL,0.060168,95.547533,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016037,Brembate,1,115,OTHER_EXTERNAL,0.060168,95.607702,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,017029,Brescia,1,116,OTHER_EXTERNAL,0.060168,95.667870,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108011,Briosco,1,117,OTHER_EXTERNAL,0.060168,95.728039,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108013,Burago di Molgora,1,118,OTHER_EXTERNAL,0.060168,95.788207,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016043,Calcinate,1,119,OTHER_EXTERNAL,0.060168,95.848375,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,036003,Campogalliano,1,120,OTHER_EXTERNAL,0.060168,95.908544,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016051,Capriate San Gervasio,1,121,OTHER_EXTERNAL,0.060168,95.968712,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108015,Carate Brianza,1,122,OTHER_EXTERNAL,0.060168,96.028881,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,013046,Carimate,1,123,OTHER_EXTERNAL,0.060168,96.089049,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,012034,Caronno Pertusella,1,124,OTHER_EXTERNAL,0.060168,96.149218,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015060,Cassina de' Pecchi,1,125,OTHER_EXTERNAL,0.060168,96.209386,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016062,Castelli Calepio,1,126,OTHER_EXTERNAL,0.060168,96.269555,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108017,Cavenago di Brianza,1,127,OTHER_EXTERNAL,0.060168,96.329723,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,015072,Cerro Maggiore,1,128,OTHER_EXTERNAL,0.060168,96.389892,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097021,Cesana Brianza,1,129,OTHER_EXTERNAL,0.060168,96.450060,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,108019,Cesano Maderno,1,130,OTHER_EXTERNAL,0.060168,96.510229,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,097022,Civate,1,131,OTHER_EXTERNAL,0.060168,96.570397,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,017061,Concesio,1,132,OTHER_EXTERNAL,0.060168,96.630566,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016086,Costa Volpino,1,133,OTHER_EXTERNAL,0.060168,96.690734,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
097010,Brivio,016087,Covo,1,134,OTHER_EXTERNAL,0.060168,96.750903,NOT_RAIL_ASSIGNED,,False,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE
