procom_lav,destination_name,workers,n_core_origins,rank,category,share_of_core_resident_workers_pct,cumulative_share_pct
108010,Bovisio-Masciago,1,1,240,OTHER_EXTERNAL,0.011423,98.834818
015040,Bussero,1,1,241,OTHER_EXTERNAL,0.011423,98.846242
015041,Busto Garolfo,1,1,242,OTHER_EXTERNAL,0.011423,98.857665
036003,Campogalliano,1,1,243,OTHER_EXTERNAL,0.011423,98.869088
013043,Capiago Intimiano,1,1,244,OTHER_EXTERNAL,0.011423,98.880512
013046,Carimate,1,1,245,OTHER_EXTERNAL,0.011423,98.891935
012034,Caronno Pertusella,1,1,246,OTHER_EXTERNAL,0.011423,98.903358
015050,Carpiano,1,1,247,OTHER_EXTERNAL,0.011423,98.914782
013053,Casnate con Bernate,1,1,248,OTHER_EXTERNAL,0.011423,98.926205
015059,Cassano d'Adda,1,1,249,OTHER_EXTERNAL,0.011423,98.937629
013055,Cassina Rizzardi,1,1,250,OTHER_EXTERNAL,0.011423,98.949052
017042,Castel Mella,1,1,251,OTHER_EXTERNAL,0.011423,98.960475
019025,Castelleone,1,1,252,OTHER_EXTERNAL,0.011423,98.971899
012046,Castiglione Olona,1,1,253,OTHER_EXTERNAL,0.011423,98.983322
016068,Cenate Sopra,1,1,254,OTHER_EXTERNAL,0.011423,98.994745
015072,Cerro Maggiore,1,1,255,OTHER_EXTERNAL,0.011423,99.006169
015076,Cesate,1,1,256,OTHER_EXTERNAL,0.011423,99.017592
016073,Chiuduno,1,1,257,OTHER_EXTERNAL,0.011423,99.029015
013068,Cirimido,1,1,258,OTHER_EXTERNAL,0.011423,99.040439
017055,Cividate Camuno,1,1,259,OTHER_EXTERNAL,0.011423,99.051862
018051,Codevilla,1,1,260,OTHER_EXTERNAL,0.011423,99.063285
108020,Cogliate,1,1,261,OTHER_EXTERNAL,0.011423,99.074709
097023,Colico,1,1,262,OTHER_EXTERNAL,0.011423,99.086132
013251,Colverde,1,1,263,OTHER_EXTERNAL,0.011423,99.097555
017061,Concesio,1,1,264,OTHER_EXTERNAL,0.011423,99.108979
015087,Cornaredo,1,1,265,OTHER_EXTERNAL,0.011423,99.120402
015093,Corsico,1,1,266,OTHER_EXTERNAL,0.011423,99.131825
016086,Costa Volpino,1,1,267,OTHER_EXTERNAL,0.011423,99.143249
016084,Costa di Mezzate,1,1,268,OTHER_EXTERNAL,0.011423,99.154672
016087,Covo,1,1,269,OTHER_EXTERNAL,0.011423,99.166095
012064,Daverio,1,1,270,OTHER_EXTERNAL,0.011423,99.177519
014026,Delebio,1,1,271,OTHER_EXTERNAL,0.011423,99.188942
014027,Dubino,1,1,272,OTHER_EXTERNAL,0.011423,99.200366
017070,Esine,1,1,273,OTHER_EXTERNAL,0.011423,99.211789
016098,Filago,1,1,274,OTHER_EXTERNAL,0.011423,99.223212
013102,Fino Mornasco,1,1,275,OTHER_EXTERNAL,0.011423,99.234636
012070,Gallarate,1,1,276,OTHER_EXTERNAL,0.011423,99.246059
012075,Gerenzano,1,1,277,OTHER_EXTERNAL,0.011423,99.257482
018073,Godiasco Salice Terme,1,1,278,OTHER_EXTERNAL,0.011423,99.268906
015108,Gorgonzola,1,1,279,OTHER_EXTERNAL,0.011423,99.280329
