stop_id,stop_code,stop_name,stop_lat,stop_lon,PRO_COM_T,COMUNE,graph_node_id,snap_distance_m,snap_ok,official_routes_reference_gtfs,official_route_count_reference_gtfs,physical_cluster_id,stop_type,epistemic_status,source
300527,300527,Airuno - elettroadda,45.741333,9.423283,097010,Brivio,22345,6.983307910005108,True,D148|D150,2,EX_014,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300528,300528,Calco - arlate - (provinciale),45.7235,9.443967,097012,Calco,26831,4.217196123004078,True,D150|D170,2,EX_015,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300634,300634,Calco - via Nazionale,45.7296,9.417783,097012,Calco,20992,8.203334218921956,True,D185,1,EX_016,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300638,300638,Olginate - fornasette,45.7686,9.424767,097010,Brivio,22830,62.92841051489648,True,D150,1,EX_017,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300728,300728,Olgiate Molgora - via statale,45.728633,9.400417,097058,Olgiate Molgora,16669,17.695448603160752,True,D148,1,EX_018,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300729,300729,Calco - via virgilio (pensilina asf),45.725017,9.40995,097012,Calco,19365,9.610574414310925,True,D148|D185,2,EX_019,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300743,300743,Calco - arlate (cimitero),45.72377,9.44097,097012,Calco,25892,3.0689817088489217,True,D170,1,EX_020,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300746,300746,Merate - sartirana (cimitero),45.71986,9.42384,097012,Calco,22471,5.065637064272881,True,D170,1,EX_021,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300782,300782,S.Maria Hoe',45.744283,9.373817,097074,Santa Maria Hoè,7735,8.113519851439193,True,D184,1,EX_022,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300803,300803,Olgiate Molgora - monticello scarpone,45.73133,9.39027,097058,Olgiate Molgora,13592,5.233997832567628,True,D184,1,EX_023,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300804,300804,Rovagnate - la pesa,45.73725,9.374517,097092,La Valletta Brianza,8018,5.077659002526833,True,D184,1,EX_024,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300805,300805,S.Maria Hoe' - tremonte,45.7428,9.37837,097074,Santa Maria Hoè,9415,5.150998046516226,True,D184,1,EX_025,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300863,300863,Monte Marenzo - smalti riva,45.77215,9.443183,097010,Brivio,24692,752.1601042413458,False,VCB,1,EX_013,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300871,300871,S.Maria Hoe' - alduno,45.735,9.3822,097074,Santa Maria Hoè,10817,7.053497330384872,True,D184,1,EX_026,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300872,300872,Perego - s.s. 342/via s.caterina,45.738567,9.362733,097092,La Valletta Brianza,4463,25.99748688917265,True,D184,1,EX_027,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300873,300873,Hoe',45.748667,9.367717,097074,Santa Maria Hoè,5703,9.444641925456196,True,D184,1,EX_028,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300878,300878,Rovagnate - semaforo,45.737167,9.369383,097092,La Valletta Brianza,6230,40.21836973939192,True,D184,1,EX_029,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300879,300879,Rovagnate - vinicola ghezzi,45.7397,9.364717,097092,La Valletta Brianza,5031,2.878063503864861,True,D160|D184,2,EX_030,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300886,300886,Imbersago - arlate (fiorista),45.718483,9.4446,097012,Calco,26995,4.336189694848777,True,D150|D170,2,EX_031,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300902,300902,S.Maria Hoe' - alpino,45.743617,9.374617,097074,Santa Maria Hoè,8038,2.891725483486379,True,D184,1,EX_032,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
