procom_res,origin_name,procom_lav,destination_name,workers,rank,category,share_of_origin_pct,cumulative_share_pct
097010,Brivio,016051,Capriate San Gervasio,1,121,OTHER_EXTERNAL,0.060168,95.968712
097010,Brivio,108015,Carate Brianza,1,122,OTHER_EXTERNAL,0.060168,96.028881
097010,Brivio,013046,Carimate,1,123,OTHER_EXTERNAL,0.060168,96.089049
097010,Brivio,012034,Caronno Pertusella,1,124,OTHER_EXTERNAL,0.060168,96.149218
097010,Brivio,015060,Cassina de' Pecchi,1,125,OTHER_EXTERNAL,0.060168,96.209386
097010,Brivio,016062,Castelli Calepio,1,126,OTHER_EXTERNAL,0.060168,96.269555
097010,Brivio,108017,Cavenago di Brianza,1,127,OTHER_EXTERNAL,0.060168,96.329723
097010,Brivio,015072,Cerro Maggiore,1,128,OTHER_EXTERNAL,0.060168,96.389892
097010,Brivio,097021,Cesana Brianza,1,129,OTHER_EXTERNAL,0.060168,96.450060
097010,Brivio,108019,Cesano Maderno,1,130,OTHER_EXTERNAL,0.060168,96.510229
097010,Brivio,097022,Civate,1,131,OTHER_EXTERNAL,0.060168,96.570397
097010,Brivio,017061,Concesio,1,132,OTHER_EXTERNAL,0.060168,96.630566
097010,Brivio,016086,Costa Volpino,1,133,OTHER_EXTERNAL,0.060168,96.690734
097010,Brivio,016087,Covo,1,134,OTHER_EXTERNAL,0.060168,96.750903
097010,Brivio,012068,Ferno,1,135,OTHER_EXTERNAL,0.060168,96.811071
097010,Brivio,013101,Figino Serenza,1,136,OTHER_EXTERNAL,0.060168,96.871239
097010,Brivio,012070,Gallarate,1,137,OTHER_EXTERNAL,0.060168,96.931408
097010,Brivio,015106,Gessate,1,138,OTHER_EXTERNAL,0.060168,96.991576
097010,Brivio,016117,Grassobbio,1,139,OTHER_EXTERNAL,0.060168,97.051745
097010,Brivio,015110,Grezzago,1,140,OTHER_EXTERNAL,0.060168,97.111913
097010,Brivio,015113,Inveruno,1,141,OTHER_EXTERNAL,0.060168,97.172082
097010,Brivio,016123,Lallio,1,142,OTHER_EXTERNAL,0.060168,97.232250
097010,Brivio,108026,Lesmo,1,143,OTHER_EXTERNAL,0.060168,97.292419
097010,Brivio,013129,Lipomo,1,144,OTHER_EXTERNAL,0.060168,97.352587
097010,Brivio,015122,Liscate,1,145,OTHER_EXTERNAL,0.060168,97.412756
097010,Brivio,108028,Lissone,1,146,OTHER_EXTERNAL,0.060168,97.472924
097010,Brivio,097046,Mandello del Lario,1,147,OTHER_EXTERNAL,0.060168,97.533093
097010,Brivio,016132,Mapello,1,148,OTHER_EXTERNAL,0.060168,97.593261
097010,Brivio,013143,Mariano Comense,1,149,OTHER_EXTERNAL,0.060168,97.653430
097010,Brivio,015136,Masate,1,150,OTHER_EXTERNAL,0.060168,97.713598
097010,Brivio,013147,Merone,1,151,OTHER_EXTERNAL,0.060168,97.773767
097010,Brivio,097054,Monticello Brianza,1,152,OTHER_EXTERNAL,0.060168,97.833935
097010,Brivio,108034,MuggiÃ²,1,153,OTHER_EXTERNAL,0.060168,97.894103
097010,Brivio,016144,Nembro,1,154,OTHER_EXTERNAL,0.060168,97.954272
097010,Brivio,015154,Nerviano,1,155,OTHER_EXTERNAL,0.060168,98.014440
097010,Brivio,108035,Nova Milanese,1,156,OTHER_EXTERNAL,0.060168,98.074609
097010,Brivio,015166,Paderno Dugnano,1,157,OTHER_EXTERNAL,0.060168,98.134777
097010,Brivio,016156,Palazzago,1,158,OTHER_EXTERNAL,0.060168,98.194946
097010,Brivio,017137,Pavone del Mella,1,159,OTHER_EXTERNAL,0.060168,98.255114
097010,Brivio,015170,Pero,1,160,OTHER_EXTERNAL,0.060168,98.315283
097010,Brivio,015171,Peschiera Borromeo,1,161,OTHER_EXTERNAL,0.060168,98.375451
097010,Brivio,015175,Pioltello,1,162,OTHER_EXTERNAL,0.060168,98.435620
097010,Brivio,016167,Pognano,1,163,OTHER_EXTERNAL,0.060168,98.495788
097010,Brivio,013188,Ponte Lambro,1,164,OTHER_EXTERNAL,0.060168,98.555957
097010,Brivio,015179,Pregnana Milanese,1,165,OTHER_EXTERNAL,0.060168,98.616125
097010,Brivio,016176,Presezzo,1,166,OTHER_EXTERNAL,0.060168,98.676294
097010,Brivio,108037,Renate,1,167,OTHER_EXTERNAL,0.060168,98.736462
097010,Brivio,033038,Rivergaro,1,168,OTHER_EXTERNAL,0.060168,98.796631
097010,Brivio,013202,Rovello Porro,1,169,OTHER_EXTERNAL,0.060168,98.856799
097010,Brivio,015192,San Donato Milanese,1,170,OTHER_EXTERNAL,0.060168,98.916968
097010,Brivio,015195,San Giuliano Milanese,1,171,OTHER_EXTERNAL,0.060168,98.977136
097010,Brivio,015201,San Vittore Olona,1,172,OTHER_EXTERNAL,0.060168,99.037304
097010,Brivio,016198,Seriate,1,173,OTHER_EXTERNAL,0.060168,99.097473
097010,Brivio,018150,Siziano,1,174,OTHER_EXTERNAL,0.060168,99.157641
097010,Brivio,012123,Somma Lombardo,1,175,OTHER_EXTERNAL,0.060168,99.217810
097010,Brivio,016202,Sorisole,1,176,OTHER_EXTERNAL,0.060168,99.277978
