source_anchor_id,source_kind,source_record_id,source_name,municipality,lon,lat,graph_node_id,snap_distance_m,snap_status,evidence_status,physical_status,candidate_status,highway,road_uncertainty_flags,route_ready,epoch_id,routing_anchor_id,collapse_reason
existing:EX_027,EXISTING_PHYSICAL_STOP_CLUSTER,L00872,Perego - s.s. 342/via s.caterina,La Valletta Brianza,9.362667000,45.738483000,n:528193.74:5065060.08,20.854202261,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_027,UNIQUE_GRAPH_NODE
existing:EX_028,EXISTING_PHYSICAL_STOP_CLUSTER,300873,Hoe',Santa Maria Hoè,9.367717000,45.748667000,n:528608.79:5066182.66,9.446353676,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_028,UNIQUE_GRAPH_NODE
existing:EX_029,EXISTING_PHYSICAL_STOP_CLUSTER,300878,Rovagnate - semaforo,La Valletta Brianza,9.369383000,45.737167000,n:528732.80:5064951.92,40.214879794,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_029,UNIQUE_GRAPH_NODE
existing:EX_030,EXISTING_PHYSICAL_STOP_CLUSTER,300879,Rovagnate - vinicola ghezzi,La Valletta Brianza,9.364717000,45.739700000,n:528374.99:5065189.62,2.880115000,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_030,UNIQUE_GRAPH_NODE
existing:EX_031,EXISTING_PHYSICAL_STOP_CLUSTER,300886,Imbersago - arlate (fiorista),Calco,9.444600000,45.718483000,n:534603.14:5062862.41,4.338066972,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_031,UNIQUE_GRAPH_NODE
existing:EX_032,EXISTING_PHYSICAL_STOP_CLUSTER,300902,S.Maria Hoe' - alpino,Santa Maria Hoè,9.374617000,45.743617000,n:529138.47:5065631.58,2.896223775,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_032,UNIQUE_GRAPH_NODE
existing:EX_033,EXISTING_PHYSICAL_STOP_CLUSTER,300903,S.Maria Hoe' - tremonte/via leopardi,Santa Maria Hoè,9.380960000,45.741180000,n:529637.88:5065358.95,3.693282293,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_033,UNIQUE_GRAPH_NODE
existing:EX_034,EXISTING_PHYSICAL_STOP_CLUSTER,300908,Calolziocorte - gerola capolinea arrivo,Brivio,9.443630000,45.772780000,n:534486.96:5068902.57,6.544467615,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_034,UNIQUE_GRAPH_NODE
existing:EX_035,EXISTING_PHYSICAL_STOP_CLUSTER,300956,"Calco - via nazionale, 85",Olgiate Molgora,9.419670000,45.736600000,n:532651.30:5064867.56,1.596687618,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_035,UNIQUE_GRAPH_NODE
existing:EX_036,EXISTING_PHYSICAL_STOP_CLUSTER,L00063,Brivio - capolinea,Brivio,9.445850000,45.742450000,n:534674.07:5065528.61,8.965309601,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_036,UNIQUE_GRAPH_NODE
