route_id,source_page,stop_sequence_on_page,stop_label_pdf,identity_status,historical_gtfs_stop_id,v2_physical_cluster_id,localization_status
D184,2,2,NAVA,RESOLVED_BEST_SEQUENCE_UNIQUE,L00808,,RESOLVED_GTFS_ID_NOT_IN_V2_STOP_UNIVERSE
D184,2,3,PIE CASTELLO,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,2,4,HOE',AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,2,5,S. MARIA HOE Tremonte incrocio via Leopardi,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,2,6,S. MARIA HOE centro,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,2,7,S. MARIA HOE Alpino Via Como,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,2,8,PEREGO statale incrocio via S.Caterina,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,2,9,ROVAGNATE statale incrocio via Lombardia,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D184,2,10,S.MARIA HOE Alduno,RESOLVED_BEST_SEQUENCE_UNIQUE,L00871,EX_041,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D184,2,11,OLGIATE MOLGORA Scarpone,RESOLVED_BEST_SEQUENCE_UNIQUE,L00803,EX_023,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D184,2,12,OLGIATE MOLGORA FS,RESOLVED_BEST_SEQUENCE_UNIQUE,300407,EX_011,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D185,1,1,CELANA,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,1,2,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,1,3,CAPRINO Piazza Marconi,RESOLVED_BEST_SEQUENCE_UNIQUE,300402,,RESOLVED_GTFS_ID_NOT_IN_V2_STOP_UNIVERSE
D185,1,4,CAPRINO Cava,RESOLVED_ROUTE_NAME_UNIQUE,300403,,RESOLVED_GTFS_ID_NOT_IN_V2_STOP_UNIVERSE
D185,1,5,CISANO Municipio,RESOLVED_BEST_SEQUENCE_UNIQUE,300484,,RESOLVED_GTFS_ID_NOT_IN_V2_STOP_UNIVERSE
D185,1,6,CISANO FS,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,1,7,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,1,8,CISANO Sosta,RESOLVED_BEST_SEQUENCE_UNIQUE,300405,EX_009,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D185,1,9,BRIVIO Capolinea,RESOLVED_BEST_SEQUENCE_UNIQUE,L00063,EX_036,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D185,1,10,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,1,11,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,1,12,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,1,13,OLGIATE MOLGORA FS,RESOLVED_BEST_SEQUENCE_UNIQUE,300407,EX_011,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D185,2,1,OLGIATE MOLGORA FS,RESOLVED_BEST_SEQUENCE_UNIQUE,300407,EX_011,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D185,2,2,CALCO Via Virgilio,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,3,OLGIATE Via Nazionale,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,4,BEVERATE,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,5,BRIVIO Capolinea,RESOLVED_BEST_SEQUENCE_UNIQUE,300063,EX_002,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D185,2,6,CISANO Sosta,RESOLVED_BEST_SEQUENCE_UNIQUE,L00405,EX_009,LOCALIZED_EXACT_RESOLVED_GTFS_ID_TO_V2_CLUSTER
D185,2,7,CISANO FS,RESOLVED_BEST_SEQUENCE_UNIQUE,300485,,RESOLVED_GTFS_ID_NOT_IN_V2_STOP_UNIVERSE
D185,2,8,CISANO Via Mazzini,NO_HISTORICAL_GTFS_NAME_MATCH,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,9,CISANO Municipio,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,10,CAPRINO Bosco,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,11,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,12,SANT'ANTONIO D'ADDA,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,13,CELANA,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
D185,2,14,CAPRINO Piazza Marconi,AMBIGUOUS_HISTORICAL_GTFS,,,UNRESOLVED_IDENTITY_NOT_SPATIALLY_USED
