plan_id,scenario_id,topology_family,uniform_headway_min,span_id,span_minutes,calendar_id,annual_service_days,exact_annual_bus_km,public_route_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_worker_od_mass_upper_bound,stress_case_count,stress_min_connection_match_share,stress_median_connection_match_share,stress_p10_connection_match_share,stress_max_unmatched_connection_event_count,stress_median_unmatched_connection_event_count,stress_max_incomplete_route_count,stress_complete_all_routes_case_count,stress_complete_all_routes_case_share,stress_median_route_unweighted_mean_gap_min,stress_p90_route_unweighted_mean_gap_min,stress_worst_route_weighted_mean_gap_min,stress_max_fleet_recovery15,stress_fleet_recovery15_escalation_case_count,stress_max_vehicle_cycle_hours_per_service_day,baseline_exact_fleet_recovery15,public_explicit_existing_stop_count,public_explicit_proposed_stop_count,public_explicit_field_check_pending_count,current_worst_municipality_access_lower_bound_10min,hard_current_worst_municipality_lower_bound_nonregression_pass,known_current_municipal_lower_bound_regression_count_10min,known_current_municipal_lower_bound_regression_codes_10min_json,full_current_service_baseline_complete,weighted_composite_score_used,full_gjt_calculated,missed_connection_probability_inferred,passenger_route_weights_inferred,primary_selected,runner_up_selected,robust_frontier_classes,robust_frontier_member
P2PLAN_39e022cd96f3ccba,P2_1781b136fd946d43,blank_slate,60,S8_EXTENDED_0530_2400,1110,IDEALISED_DAILY_YEAR,365,104235.081421,1,0.089500296527,0.202591291596,0.257446122229,0.033694851388,0.055548320348,0.063137253657,1234.0,81,0.981651376146789,1.0,0.981651376146789,2,0,1,47,0.5802469135802469,25.180980453467864,31.292701556813867,32.49674636746387,1,0,9.654845514195,1,3,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_39ffe4b70286366b,P2_8de2d254f7c286e6,blank_slate,30,S8_EXTENDED_0530_2400,1110,IDEALISED_6_DAY_52_WEEK,312,110455.583005,1,0.077946993066,0.176712697266,0.228335808863,0.0,0.000465712767,0.009189912991,221.0,81,0.9727891156462585,0.9930555555555556,0.9862068965517241,4,1,1,0,0.0,17.064309461981615,19.566868132281613,20.569426802581614,2,0,15.451379293736666,2,1,2,2,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_3b8e9ffbba770ca1,P2_b61ce8c56cf408f8,blank_slate,60,CORE_0600_2200,960,IDEALISED_DAILY_YEAR,365,105263.262839,1,0.109281682059,0.243128782179,0.324805241097,0.041666923347,0.16160921696,0.22184050544,567.0,81,0.9787234042553191,0.9893617021276596,0.9787234042553191,2,1,1,0,0.0,20.868152642211975,29.863628866112542,31.863628866112542,1,0,10.532358048773334,1,3,1,1,0.0,true,2,"[""097010"",""097058""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_3c0f64a9fda3bed0,P2_5fe77a0644ecc691,interlined_figure8,60,CORE_0600_2200,960,IDEALISED_DAILY_YEAR,365,110357.012443,2,0.079793958306,0.19973600812,0.30220495651,0.0,0.0,0.0,787.0,81,0.9842105263157894,0.9947368421052631,0.9842105263157894,3,1,2,0,0.0,22.18116061755405,26.62037555159708,33.32623795251254,2,0,10.9986489276,2,2,2,2,0.0,true,1,"[""097010""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_3e13e6dc5146b2c6,P2_5f81356056df50eb,hybrid_interlined,30,CORE_0600_2200,960,IDEALISED_DAILY_YEAR,365,106909.036369,2,0.091818396615,0.22286541195,0.280493417998,0.0,0.0,0.0,447.0,81,0.984375,0.9921875,0.984375,4,2,2,0,0.0,10.910545276806616,20.223961631213868,21.811783280813867,2,0,10.015053070986667,2,2,0,0,0.0,true,3,"[""097010"",""097058"",""097074""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_3ec68e137b263ecf,P2_10a63201e522d629,blank_slate,30,CORE_0600_2200,960,IDEALISED_5_DAY_52_WEEK,260,96749.00897,1,0.096024205604,0.21717760723,0.303293861766,0.0,0.000465712767,0.013951238382,375.0,81,0.9841269841269841,0.9920634920634921,0.9841269841269841,2,1,1,0,0.0,15.807245743281614,23.251985381963866,24.63050629116387,2,0,18.307978667946667,2,1,3,3,0.0,true,1,"[""097010""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_3f292cde48930271,P2_d3a8f22f24eccaaa,single_compact_loop,15,S8_EXTENDED_0530_2400,1110,IDEALISED_6_DAY_52_WEEK,312,104243.940431,1,0.063693868975,0.140955820367,0.17857677038,0.0,0.0,0.0,643.0,81,0.9817351598173516,0.9908256880733946,0.9817351598173516,4,2,1,0,0.0,13.426830678042208,16.018492125462778,16.79116075896278,2,0,12.94920446115,2,1,1,1,0.0,true,4,"[""097010"",""097058"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_4110e2ab8d8fb53f,P2_56801c69e0786613,single_compact_loop,30,CORE_0600_2200,960,IDEALISED_DAILY_YEAR,365,96134.299955,1,0.068081706399,0.188631834721,0.232953465913,0.0,0.0,0.0,643.0,81,0.9841269841269841,0.9921875,0.984375,2,1,1,0,0.0,15.144803994463869,19.810825307831614,22.700304585196122,2,0,12.567071495946667,2,1,3,3,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_419e6fd66e5554c2,P2_6d191d545b91e100,blank_slate,20,CORE_0600_2200,960,IDEALISED_5_DAY_52_WEEK,260,103801.37221,1,0.052721762669,0.137326479142,0.188415932881,0.0,0.006505370732,0.009189912991,139.0,81,0.9936708860759493,0.9936708860759493,0.9936708860759493,1,1,1,27,0.3333333333333333,14.724691234304677,16.03037189791915,16.626576251291834,2,0,14.68873998784,2,2,0,0,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_4237a117a92c4e76,P2_506f266b07b131de,hybrid_interlined,20,CORE_0600_2200,960,IDEALISED_6_DAY_52_WEEK,312,105306.990153,2,0.061481646866,0.166894976061,0.206348707293,0.0,0.0,0.0,643.0,81,0.9874213836477987,0.9937106918238994,0.9874213836477987,4,2,2,27,0.3333333333333333,14.353701562402634,14.91246394392157,16.13366974339657,4,54,15.0801020156,3,1,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
