service_identity_id,representative_plan_id,plan_alias_count,scenario_alias_count,topology_family_alias_count,topology_families_json,plan_ids_json,scenario_ids_json,route_phases_json,uniform_headway_min,span_id,calendar_id,robust_frontier_classes,span_minutes,annual_service_days,exact_annual_bus_km,public_route_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_worker_od_mass_upper_bound,stress_min_connection_match_share,stress_median_connection_match_share,stress_max_unmatched_connection_event_count,stress_max_incomplete_route_count,stress_worst_route_weighted_mean_gap_min,stress_max_fleet_recovery15,public_explicit_existing_stop_count,public_explicit_proposed_stop_count,public_explicit_field_check_pending_count,operational_identity_metrics_invariant,family_label_used_to_select_representative,primary_selected,runner_up_selected
P2SERVICE_a89cd5bdaf37f6f3,P2PLAN_288646790bdeffd7,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_288646790bdeffd7"",""P2PLAN_4110e2ab8d8fb53f""]","[""P2_56801c69e0786613"",""P2_f3d37fa831bda36c""]","[[""R2_a6dcf730feb71833c37c"",7]]",30,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,96134.299955,1,0.068081706399,0.188631834721,0.232953465913,0.0,0.0,0.0,643.0,0.9841269841269841,0.9921875,2,1,22.700304585196122,2,1,3,3,true,false,false,false
P2SERVICE_a958f7873ed24089,P2PLAN_1a6ac4355ace8793,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_1a6ac4355ace8793"",""P2PLAN_7d08566453bb1239""]","[""P2_661654da5f884394"",""P2_e44e1ad363b4503e""]","[[""R2_45cf7c9ce93ed782cd5f"",11]]",30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,105417.65718,1,0.073553829665,0.17792427326,0.237261308075,0.0,0.000465712767,0.013951238382,134.0,0.9727891156462585,0.9930555555555556,4,1,20.73647481753162,2,1,2,2,true,false,false,false
P2SERVICE_ac14638fd058ee3c,P2PLAN_7c811f5fd7a4b0a3,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_7c811f5fd7a4b0a3"",""P2PLAN_a2d1d45b7e49c33d""]","[""P2_a459a3624cc79469"",""P2_ab922de5c6fa2869""]","[[""R2_8c7957417e41db130216"",37]]",60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,1110,365,101441.825,1,0.08020850393,0.182972398272,0.263106451939,0.0,0.002260418981,0.020638447805,753.0,0.9908256880733946,0.9908256880733946,1,1,32.18893940681894,1,1,3,3,true,false,false,false
P2SERVICE_ae33675dbde37907,P2PLAN_12bec39f39cae053,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_12bec39f39cae053"",""P2PLAN_c3062cf37d2342cd""]","[""P2_067e6c7ae6cb14c4"",""P2_3d110befe0bda5e7""]","[[""R2_717987377cd99367dc20"",10]]",20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,99575.136251,1,0.06319969283,0.166724548334,0.203069918834,0.0,0.0,0.0,490.0,0.972972972972973,0.9945054945054945,5,1,16.548904691355744,2,1,1,1,true,false,false,false
P2SERVICE_b7caa58efbfc000f,P2PLAN_8ed706445758af13,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_8ed706445758af13"",""P2PLAN_b684314deb54f102""]","[""P2_1c505c091c9f5b21"",""P2_39a9959520dd71f5""]","[[""R2_74ab36c37a99ef5a1c51"",7]]",30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,365,94845.213564,1,0.055990090942,0.158428724316,0.212977207792,0.0,5.0341214e-05,5.0341214e-05,221.0,0.9795918367346939,0.9863945578231292,3,1,18.47325840701387,2,2,1,1,true,false,false,false
P2SERVICE_b93a3aa7dae843d6,P2PLAN_39e022cd96f3ccba,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_39e022cd96f3ccba"",""P2PLAN_4caf4d10e73d7908""]","[""P2_1781b136fd946d43"",""P2_6560a07ee7940940""]","[[""R2_5464385760a996896b1f"",56]]",60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,1110,365,104235.081421,1,0.089500296527,0.202591291596,0.257446122229,0.033694851388,0.055548320348,0.063137253657,1234.0,0.981651376146789,1.0,2,1,32.49674636746387,1,3,1,1,true,false,false,false
P2SERVICE_b953399a5763f38f,P2PLAN_0bc9329646c509db,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_0bc9329646c509db"",""P2PLAN_a024e7d0a0353976""]","[""P2_3e9262447422e26a"",""P2_ebdaaf1baa144ee0""]","[[""R2_f4436cf0e19fc17dd484"",37]]",60,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,960,365,106109.785702,1,0.051603185214,0.131734781877,0.203897683849,5.0341214e-05,5.0341214e-05,0.010743097632,1308.0,0.9787234042553191,0.9893617021276596,2,1,31.28602284086254,1,0,4,4,true,false,false,false
P2SERVICE_b9a1af787665acce,P2PLAN_0f483ee770626eaf,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_0f483ee770626eaf"",""P2PLAN_2409bc3be747e629""]","[""P2_bfbb9d6c4188ab18"",""P2_d2d270f92e2b6996""]","[[""R2_0dfbad056e54a0bf0740"",37]]",60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED,960,312,107900.61697,1,0.08075166393,0.194842164745,0.280354541021,0.0,0.019833047594,0.093473095134,1367.0,0.9787234042553191,0.9893617021276596,2,1,27.61350100646254,2,1,3,3,true,false,false,false
P2SERVICE_baff53f28ba59bd2,P2PLAN_12882747dc9e8515,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_12882747dc9e8515"",""P2PLAN_70d68153d2d22aea""]","[""P2_661654da5f884394"",""P2_e44e1ad363b4503e""]","[[""R2_45cf7c9ce93ed782cd5f"",7]]",30,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,106659.583841,1,0.073553829665,0.17792427326,0.237261308075,0.0,0.000465712767,0.013951238382,134.0,0.9841269841269841,0.9921875,2,1,22.891956315146118,2,1,2,2,true,false,false,false
P2SERVICE_bb8f2365f4349bf8,P2PLAN_5acbb2a3cc4a171f,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_5acbb2a3cc4a171f"",""P2PLAN_8f07b8759752afbe""]","[""P2_869464afc34adb99"",""P2_e44431d84b3c6317""]","[[""R2_527288526c67dea072ec"",12]]",30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,111112.636616,1,0.10210992885,0.238365783426,0.318762138245,0.0,0.0,0.0,375.0,0.9727891156462585,0.9930555555555556,4,1,21.301039812631615,2,2,1,1,true,false,false,false
