stop_foundation_id,source_stop_id,physical_cluster_id,stop_class,human_label,municipality,lat,lon,road_name_or_context,evidence_status,road_eligibility_status,field_check_status,current_d184_d185_physical_stop,current_routes,human_identity_ready,finalist_stop_ready,readiness_reason,nearest_official_stop_walk_network_m,population_reachable_10min,population_additional_10min,settlement_context,destination_context,source_lineage
proposed:P2V2S_0112,P2V2S_0112,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0112,Brivio,45.73833579466161,9.444276188901,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,575.1356298331644,614.1621342684524,22.970963699301183,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0114,P2V2S_0114,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0114,Brivio,45.738629839162925,9.447186179024976,tertiary,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,373.158001924757,1377.4733238336573,24.57220914468168,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0115,P2V2S_0115,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0115,Brivio,45.73873053145083,9.432708646283752,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,479.730443459561,1077.9270563109803,6.221419288310376,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0117,P2V2S_0117,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0117,Brivio,45.73889015000014,9.429420850000636,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,602.3003221003835,1129.593494807408,6.221419288310376,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0128,P2V2S_0128,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0128,Brivio,45.742348846896334,9.430686317603216,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,750.8014297695161,966.0315525017376,21.263457789039514,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0129,P2V2S_0129,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0129,Brivio,45.74357768509202,9.424727436677582,primary,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,281.23623861563914,714.1606453598667,19.53996505216026,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0134,P2V2S_0134,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0134,Brivio,45.74459850109908,9.430368744558898,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,930.3160735250347,351.11328110622105,25.761384340470634,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0139,P2V2S_0139,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0139,Brivio,45.745994000548066,9.438674750155146,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,906.5892771831844,456.46351745873545,63.545442833485495,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0140,P2V2S_0140,,PROPOSED_HYPOTHESIS,Oratorio di Airuno,Brivio,45.7461060138879,9.426049037816671,primary,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,true,false,FIELD_CHECK_REQUIRED,627.3598997450744,195.37750168456452,25.761384340470634,,Oratorio di Airuno,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0141,P2V2S_0141,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0141,Brivio,45.74703335001229,9.442043250010647,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,671.7553218515952,525.7858516458513,76.28034711185954,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0147,P2V2S_0147,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0147,Brivio,45.74993939340752,9.443535413129005,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,1055.3207111411728,266.1782676337421,50.664907908834294,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0150,P2V2S_0150,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0150,Brivio,45.75224849379328,9.439940072252329,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,1303.5625733669265,82.31835218156935,52.34630279543205,,,stop_universe_v2/proposed_stop_candidates.csv
existing:EX_005,300089,EX_005,EXISTING_OFFICIAL,Calco - via statale (edicola),Calco,45.723933,9.4151,Calco - via statale (edicola),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_007,300397,EX_007,EXISTING_OFFICIAL,Calco - via virgilio,Calco,45.72495,9.41495,Calco - via virgilio,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_015,300528,EX_015,EXISTING_OFFICIAL,Calco - arlate - (provinciale),Calco,45.7235,9.443967,Calco - arlate - (provinciale),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
