budget_suffix,equivalence_group_id,input_plan_count,survivor_plan_count,tie_break_invoked,reduced,exact_tie_after_supported_tiebreak,continuity_tie_break_applied
m10pct,ZB2_4680816516187185,2,2,true,false,true,false
m10pct,ZB2_4713721f2d8feee0,2,2,true,false,true,false
m10pct,ZB2_4724152c850762d3,2,2,true,false,true,false
m10pct,ZB2_472890ea34acec41,2,2,true,false,true,false
m10pct,ZB2_478555e385b023e9,2,2,true,false,true,false
m10pct,ZB2_47a3163a3cf4ece2,2,2,true,false,true,false
m10pct,ZB2_47b48ba9d16d915f,2,2,true,false,true,false
m10pct,ZB2_47df4065e5ad6cd3,2,2,true,false,true,false
m10pct,ZB2_47e1dd10de8e193f,2,2,true,false,true,false
m10pct,ZB2_47f90b9f622ec26f,2,2,true,false,true,false
m10pct,ZB2_48237f4c7980bcf2,2,2,true,false,true,false
m10pct,ZB2_485ddc8c9e703926,2,2,true,false,true,false
m10pct,ZB2_48b03ac7708580cc,2,2,true,false,true,false
m10pct,ZB2_48f2395a46b0bab2,2,2,true,false,true,false
m10pct,ZB2_48fad3692404f001,2,2,true,false,true,false
m10pct,ZB2_49014f43932ea13e,2,2,true,false,true,false
m10pct,ZB2_493624df4cfff74b,2,2,true,false,true,false
m10pct,ZB2_497b8b4de6868c73,2,2,true,false,true,false
m10pct,ZB2_4983a73a3ea39bf0,2,2,true,false,true,false
m10pct,ZB2_4a04767e48c79781,2,2,true,false,true,false
m10pct,ZB2_4a25a4513e1fbc8e,2,2,true,false,true,false
m10pct,ZB2_4a359f37896d4748,2,2,true,false,true,false
m10pct,ZB2_4a3b844aa98a0a43,2,2,true,false,true,false
m10pct,ZB2_4a43d19431e3edf6,2,2,true,false,true,false
m10pct,ZB2_4a50faf9c3d25f47,2,2,true,false,true,false
m10pct,ZB2_4a9b8d191cc74528,2,2,true,false,true,false
m10pct,ZB2_4b527f269fd9d5bb,2,2,true,false,true,false
m10pct,ZB2_4b63d9bd0205011b,2,2,true,false,true,false
m10pct,ZB2_4b824f2a4e523d7e,2,2,true,false,true,false
m10pct,ZB2_4b98cc945e7a29b8,2,2,true,false,true,false
m10pct,ZB2_4becc7e2666dea9d,2,2,true,false,true,false
m10pct,ZB2_4bef554535d21980,2,2,true,false,true,false
m10pct,ZB2_4c19983a783d1028,2,2,true,false,true,false
m10pct,ZB2_4c361022375b3c45,2,2,true,false,true,false
m10pct,ZB2_4c3a7e2cd4ec7579,2,2,true,false,true,false
m10pct,ZB2_4c42ddc40eb05a34,2,2,true,false,true,false
m10pct,ZB2_4c663f3d8960f8bd,2,2,true,false,true,false
m10pct,ZB2_4c66c8ce6523cd93,2,2,true,false,true,false
m10pct,ZB2_4c8b00dac0d2a9e2,2,2,true,false,true,false
m10pct,ZB2_4c95b1ff210056df,2,2,true,false,true,false
m10pct,ZB2_4cce28871f07b3e1,2,2,true,false,true,false
m10pct,ZB2_4d59a53829eeef37,2,2,true,false,true,false
m10pct,ZB2_4d8ac281af50b319,2,2,true,false,true,false
m10pct,ZB2_4daba8d44d9a7404,2,2,true,false,true,false
m10pct,ZB2_4daff9703d3b8b4c,2,2,true,false,true,false
m10pct,ZB2_4dc2bc84daa40329,2,2,true,false,true,false
m10pct,ZB2_4dc6963d11b136c2,2,2,true,false,true,false
m10pct,ZB2_4df6e9fd456a0510,2,2,true,false,true,false
m10pct,ZB2_4e1b728e12be16eb,2,2,true,false,true,false
m10pct,ZB2_4e395dc074e21e58,2,2,true,false,true,false
