scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,reference_budget_feasible_no_extension_policy_count,current_lower_bound_non_regression_pass,minimum_worst_municipality_threshold_margin_vs_current_lower_bound,s8_complete_supported_route_count,s8_incomplete_supported_route_count,territorial_other_core_worker_mass_upper_bound,territorial_other_external_worker_mass_upper_bound,territorial_total_worker_mass_upper_bound_reporting_only,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_operational_unknown_distance_share_lower_bound,public_explicit_field_check_pending_count,public_distance_km,public_runtime_min,public_route_count,equivalent_metric_scenario_count,frontier_timing_key,was_on_prior_robustness_frontier
P2_0dad7306b7f24317,single_compact_loop,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,356,0,356,0.07279992348,0.178639244681,0.216419586923,0.0,0.0,0.0,0.0,0,6.402083324,10.364712479,1,2,H15_CORE_0600_2200,true
P2_0dd9d090e87b1e9a,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200,true
P2_0e0652e9afb93f84,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200,true
P2_0e18d0ed93e95595,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200,true
P2_0e62ca21758f6777,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,221,0,221,0.084846121044,0.163522480105,0.189550664751,0.0,0.0,0.0,0.0,0,5.312334548,9.518736397,2,2,H15_CORE_0600_2200,true
P2_0e7ac6418f34b4fc,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,217,217,0.03218766368,0.09514565313,0.133225819867,0.0,0.0,0.0,0.0,1,4.242536281,10.372939538,1,53,H15_CORE_0600_2200,false
P2_0ea6295d65d62495,short_turn_overlay,15,CORE_0600_2200,360,1320,3,True,0.0,2,0,0,217,217,0.051250870755,0.111740198102,0.150787512408,0.0,0.0,0.0,0.0,2,3.91531376,10.08996273,2,2,H15_CORE_0600_2200,false
P2_0f0d05a6e4241795,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200,true
P2_0f35abf17dbb53e8,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,134,0,134,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200,true
P2_0f463cd656f6b885,single_compact_loop,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,490,0,490,0.066539462719,0.129594428284,0.179439371641,0.0,0.0,0.0,0.323071953764,1,6.217043063,11.428239497,1,2,H15_CORE_0600_2200,false
