pair_id,source_routing_terminal_id,target_routing_terminal_id,source_stop_place_id,target_stop_place_id,source_graph_node_id,target_graph_node_id,status,failure_reason,corridor_count,certified_shortest_present,certified_shortest_physical_loopless,certified_reference_turn_legal,certified_edge_sequence_matches_rt017,certified_runtime_delta_vs_rt017_min,certified_distance_delta_vs_rt017_m,generation_paths_examined,generation_rounds_attempted,ksp_fallback_used,generator_contract,completeness_claim,graph_epoch_id,gate_d_route_found
DIR_PAIR_AC1CEACF9F26DA47,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300063,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300063,n:534549.56:5063427.02,n:534678.16:5065404.73,EXPLICIT_NO_LOOPLESS_CORRIDOR_WITHIN_VALIDATED_RT006_GRID,NO_PHYSICAL_LOOPLESS_CORRIDOR_ADMITTED_WITHIN_VALIDATED_RT006_PARAMETER_GRID,0,True,False,True,True,0.0,0.0,132,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_305D0ED55595FBBE,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300086,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300086,n:534549.56:5063427.02,n:532908.34:5065306.79,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,3,2,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_39CFE56883A26EAF,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300398,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300398,n:534549.56:5063427.02,n:533292.19:5064957.79,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,3,2,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_1DCBD6BE39DA637D,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300487,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300487,n:534549.56:5063427.02,n:533212.76:5064666.32,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,3,2,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_CC6C54C612B16F4E,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300527,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300527,n:534549.56:5063427.02,n:532936.37:5065399.23,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,3,2,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_A3545AAEFACA3B24,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300634,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300634,n:534549.56:5063427.02,n:532499.08:5064091.41,PASS_ROUTED_CORRIDOR_POOL,,1,True,False,True,True,0.0,0.0,132,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_417392EBEF010A2B,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300743,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300743,n:534549.56:5063427.02,n:534316.06:5063448.92,PASS_ROUTED_CORRIDOR_POOL,,2,True,True,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_FC3CA976FE75B69D,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300782,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300782,n:534549.56:5063427.02,n:529070.45:5065704.08,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_837E38FED957ADA4,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300805,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300805,n:534549.56:5063427.02,n:529432.61:5065522.14,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_3D2CBA940FAF0811,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300873,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300873,n:534549.56:5063427.02,n:528613.81:5066189.00,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_B4881F825B4DBB98,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300879,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300879,n:534549.56:5063427.02,n:528369.47:5065199.46,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_C3F1907AE2F6FE51,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300956,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300956,n:534549.56:5063427.02,n:532637.53:5064842.40,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,3,2,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_A967C28D41C4994C,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::L00407,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::L00407,n:534549.56:5063427.02,n:531469.30:5064033.74,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,10,9,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_8B9B57F35F9DF33D,ASF::ARLATE_BIVIO_PER_IL_PAESE,MANUAL::CALCO_SCAGNELLO,ASF::ARLATE_BIVIO_PER_IL_PAESE,MANUAL::CALCO_SCAGNELLO,n:534549.56:5063427.02,n:531765.58:5062675.56,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,6,5,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_22EDCB4E0F947037,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ARLATE_BIVIO_PER_IL_PAESE,n:532842.42:5064426.53,n:534549.56:5063427.02,PASS_ROUTED_CORRIDOR_POOL,,2,True,True,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_87EA17E8680BDFEF,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ARLATE_CANTINA_PIROVANO,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ARLATE_CANTINA_PIROVANO,n:532842.42:5064426.53,n:533967.82:5063859.74,PASS_ROUTED_CORRIDOR_POOL,,1,True,True,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
