pair_id,source_routing_terminal_id,target_routing_terminal_id,reverse_pair_id,scope
DIR_PAIR_3D2CBA940FAF0811,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300873,DIR_PAIR_73D7FDA90AAABE92,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_B4881F825B4DBB98,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300879,DIR_PAIR_75F224F2F52ABAC4,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C3F1907AE2F6FE51,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300956,DIR_PAIR_EB972FD2E34B9A93,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A967C28D41C4994C,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::L00407,DIR_PAIR_5FA294D27C7D00AA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_8B9B57F35F9DF33D,ASF::ARLATE_BIVIO_PER_IL_PAESE,MANUAL::CALCO_SCAGNELLO,DIR_PAIR_CD20A950E4EBD409,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_22EDCB4E0F947037,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ARLATE_BIVIO_PER_IL_PAESE,DIR_PAIR_E51503F6F98A0F8F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_87EA17E8680BDFEF,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ARLATE_CANTINA_PIROVANO,DIR_PAIR_D6B5239795F9C609,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1758CCC956F1EDF4,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::BEVERATE_CARTELLO_PAESE,DIR_PAIR_4287B3BC29B67C03,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_6532AFF4D904257C,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::BRIVIO_BAR_CRISTALLO,DIR_PAIR_0004B3A6842D8D27,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_23E76222EE4AB67E,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::BRIVIO_VIA_COMO_PENSILINA,DIR_PAIR_30C552949CFBBF38,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_24217722AB06CFA6,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::CALCO_LARGO_POMEA,DIR_PAIR_259A122F1D1F80C2,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_5F0DDC8EA0878AFD,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::CALCO_VIA_GARIBALDI,DIR_PAIR_5513993B8DDB7708,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_DD2CE2CD96C89950,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::IMBERSAGO_LOCALITA_CAZZULINO,DIR_PAIR_6A012FCB6C4A45BD,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1BF59DBD77010CB5,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::OLGIATE_MOLGORA_SCARPONE,DIR_PAIR_7F7584767B80EF43,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1A1B8B55993E8432,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,DIR_PAIR_5EF6E502357403BB,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_AA04EBBF0914BCE9,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::OLGIATE_MOLGORA_VIA_STATALE,DIR_PAIR_3922AB74C7AE57A3,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_810052E6618260F4,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::PEREGO_VIA_STATALE_79,DIR_PAIR_FBD5921B0EB7C89C,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_6E1649C221820B35,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ROVAGNATE_FRAZIONE_ALDUNO,DIR_PAIR_9E019CE6131AE825,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_09B1278CFA98D1B5,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,DIR_PAIR_B4B3FA856C594A44,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_5AAEC6DA0368C404,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ROVAGNATE_STRADA_STATALE_AGIP,DIR_PAIR_60217CAF30166204,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_B594EA1AB29A5257,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::SANTA_MARIA_HOE_VIA_COMO,DIR_PAIR_A87BB0D9F938D319,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F3C59D2726A2F77F,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,DIR_PAIR_6A374B721FB7D518,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_109823060D5D8DC6,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,DIR_PAIR_D65B9640E0CA0122,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_512A6AF8FEA9E1FA,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::VACCAREZZA_CARTELLO_PAESE,DIR_PAIR_4B015863FF2FE6D2,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_6268020EAD8CDBC3,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::100005,DIR_PAIR_BDF809061818FFD0,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_16E35C744B93BC72,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300063,DIR_PAIR_5863552208120581,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_8C26CD0685BD4B81,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300086,DIR_PAIR_E32D9E2185CB8EFB,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_9CC9141663DAAABB,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300398,DIR_PAIR_188DD5D3158D3062,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C18745C18C43F691,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300487,DIR_PAIR_97C9654FCA557BA9,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_715D294708F1B24D,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300527,DIR_PAIR_104416D750E6AC21,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
