stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
85112,LEC157_85112,"Lecco, Gorizia/Seminario",,45.864461,9.394417,,,0,,,,,
84974,LEC298_84974,"Lecco, Gorizia/Oslavia",,45.865758,9.397646,,,0,,,,,
84975,LEC299_84975,"Lecco, Rancio, Gorizia/Fritsch",,45.867131,9.399058,,,0,,,,,
80566,LEC300_80566,"Lecco, Rancio, Mazzucconi/Fucini",,45.868112,9.400008,,,0,,,,,
84969,LEC277_84969,"Lecco, Germanedo, Ferrario/Cesura",,45.8554,9.4132,,,0,,,,,
85119,LEC164_85119,"Lecco, Redipuglia/Montelungo",,45.855525,9.412064,,,0,,,,,
85120,LEC165_85120,"Lecco, Eremo/fr. Filanda",,45.8532,9.41269,,,0,,,,,
86678,LEC005_86678,"Lecco, Eremo, Ospedale",,45.852107,9.413473,,,0,,,,,
85122,LEC166_85122,"Lecco, Tonio da Belledo/Consonni",,45.848387,9.411797,,,0,,,,,
84978,LEC293_84978,"Lecco, Risorgimento/Polvara",,45.849,9.4102,,,0,,,,,
84979,LEC294_84979,"Lecco, Grandi fr. 32",,45.850862,9.410522,,,0,,,,,
84980,LEC295_84980,"Lecco, Grandi/Belfiore",,45.8531,9.4095,,,0,,,,,
80462,LEC034_80462,"Lecco, Belfiore/Dei Riccioli",,45.852493,9.406155,,,0,,,,,
84981,LEC297_84981,"Lecco, Baracca/Promessi Sposi",,45.853098,9.402743,,,0,,,,,
85130,LEC216_85130,"Lecco, Promessi Sposi/fr. Rivolta",,45.853739,9.400879,,,0,,,,,
84941,LEC247_84941,"Lecco, Amendola/Digione",,45.851717,9.397439,,,0,,,,,
84918,LEC118_84918,"Lecco, Pescarenico, Martiri 59",,45.850095,9.394223,,,0,,,,,
84931,LEC231_84931,"Lecco, Prealpi, Funivia",,45.863,9.4277,,,0,,,,,
80561,LEC232_80561,"Lecco, Prealpi/Ai Poggi",,45.864434,9.426452,,,0,,,,,
80563,LEC235_80563,"Lecco, Ai Poggi/fr. Prealpi",,45.86491834144225,9.424238962839144,,,0,,,,,
80562,LEC234_80562,"Lecco, Ai Poggi/Malnago",,45.862664,9.421781,,,0,,,,,
84932,LEC233_84932,"Lecco, Ai Poggi fr. 124",,45.860530918657915,9.42095991153526,,,0,,,,,
80564,LEC236_80564,"Lecco, Ai Poggi 75",,45.862068,9.41867,,,0,,,,,
