route_id,stop_id,stop_name,stop_lat,stop_lon,physical_stop_cluster_id,clustering_reason,trip_stop_time_row_count,pattern_count,pattern_ids,pattern_trip_count_sum,min_stop_sequence,max_stop_sequence,activation_evidence_status,current_reference_date,temporary_disruption_excluded,ridership_evidence
D184,300805,S.Maria Hoe' - tremonte,45.7428,9.37837,EX_025,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,1,1,PAT_75b1487d1fcc52dd,1,3,3,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,L00904,S.Maria Hoe' - tremonte/ via trento,45.7426,9.3784,EX_025,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,1,1,PAT_701768db802888f4,1,2,2,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D184,300903,S.Maria Hoe' - tremonte/via leopardi,45.74118,9.38096,EX_033,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,3,3,PAT_2feb1d6a5aa5cd76;PAT_701768db802888f4;PAT_75b1487d1fcc52dd,3,1,2,CURRENT_ROUTE_CONFIRMED_STOP_IDENTITY_FROM_OFFICIAL_GTFS,2026-09-04,false,false
D185,300086,Brivio - beverate (cariplo),45.7404,9.423083,EX_003,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,4,4,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00086,Brivio - beverate (cariplo),45.740517,9.423083,EX_003,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,9,13,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300398,Brivio - beverate (paese),45.73735,9.427967,EX_008,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,5,5,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00398,Brivio - beverate (paese),45.737317,9.42815,EX_008,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,8,12,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00487,Brivio - beverate (quattro strade),45.734767,9.426933,EX_012,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,7,11,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300487,Brivio - beverate (tre strade),45.73465,9.42685,EX_012,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,6,6,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300063,Brivio - capolinea,45.741333,9.4457,EX_002,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,9,9,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00063,Brivio - capolinea,45.74245,9.44585,EX_036,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,4,8,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300087,Brivio - vaccarezza,45.73685,9.436083,EX_004,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,7,7,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00087,Brivio - vaccarezza,45.737017,9.4362,EX_004,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,6,10,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300406,Brivio - via como (pizzeria),45.742417,9.439367,EX_010,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,8,8,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00406,Brivio - via como (pizzeria),45.742267,9.439133,EX_010,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,5,9,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300634,Calco - via Nazionale,45.7296,9.417783,EX_016,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,11,15,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300956,"Calco - via nazionale, 85",45.7366,9.41967,EX_035,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,10,14,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300397,Calco - via virgilio,45.72495,9.41495,EX_007,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,12,16,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00397,Calco - via virgilio,45.72495,9.414367,EX_038,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,3,3,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300729,Calco - via virgilio (pensilina asf),45.725017,9.40995,EX_019,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,13,17,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00729,Calco - via virgilio (pensilina asf),45.72495,9.410183,EX_019,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,2,2,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300483,Caprino - bosco,45.741283,9.483367,V4_EQ_483,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,10,4,PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb,10,2,8,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00483,Caprino - bosco,45.74125,9.483483,V4_EQ_483,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,11,3,PAT_13e1ac93db9e4992;PAT_3a757ae4135a29dd;PAT_fd7b8cc6801c7523,11,3,15,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300403,Caprino - cava,45.738867,9.484067,V4_SINGLE_300403,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,10,4,PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb,10,3,9,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300402,Caprino - piazza marconi,45.74485,9.482017,V4_EQ_402,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,11,5,PAT_31a2d11dc5987084;PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb,11,1,7,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00402,Caprino - piazza marconi,45.744783,9.482233,V4_EQ_402,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,12,4,PAT_13e1ac93db9e4992;PAT_3a757ae4135a29dd;PAT_4c687aad37135a27;PAT_fd7b8cc6801c7523,12,1,16,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
