physical_stop_cluster_id,representative_stop_id,representative_stop_name,representative_stop_lat,representative_stop_lon,stop_id_member_count,member_stop_ids,member_stop_names,member_coordinates,routes,pattern_ids,clustering_reasons,certified_phase2_catchment_available
EX_024,300804,Rovagnate - la pesa,45.73725,9.374517,2,300804;L00804,Rovagnate - la pesa;Rovagnate - la pesa,"45.737250,9.374517;45.737217,9.374867",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_701768db802888f4;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e;PAT_ed9891cba02df005,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_025,300805,S.Maria Hoe' - tremonte,45.7428,9.37837,2,300805;L00904,S.Maria Hoe' - tremonte;S.Maria Hoe' - tremonte/ via trento,"45.742800,9.378370;45.742600,9.378400",D184,PAT_701768db802888f4;PAT_75b1487d1fcc52dd,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_026,300871,S.Maria Hoe' - alduno,45.735,9.3822,1,300871,S.Maria Hoe' - alduno,"45.735000,9.382200",D184,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_027,300872,Perego - s.s. 342/via s.caterina,45.738567,9.362733,2,300872;L00872,Perego - s.s. 342/via s.caterina;Perego - s.s. 342/via s.caterina,"45.738567,9.362733;45.738483,9.362667",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_701768db802888f4;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e;PAT_ed9891cba02df005,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_028,300873,Hoe',45.748667,9.367717,2,300873;L00873,Hoe';Hoe',"45.748667,9.367717;45.748600,9.368017",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_029,300878,Rovagnate - semaforo,45.737167,9.369383,1,300878,Rovagnate - semaforo,"45.737167,9.369383",D184,PAT_6b1e3cc825f93648;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_030,300879,Rovagnate - vinicola ghezzi,45.7397,9.364717,2,300879;L00879,Rovagnate - vinicola ghezzi;Rovagnate - vinicola ghezzi,"45.739700,9.364717;45.739800,9.364650",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_701768db802888f4;PAT_a0c6b10984ae7f84;PAT_bde74a78b6068c9e;PAT_ed9891cba02df005,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_032,300902,S.Maria Hoe' - alpino,45.743617,9.374617,2,300902;L00902,S.Maria Hoe' - alpino;S.Maria Hoe' - alpino,"45.743617,9.374617;45.743567,9.374367",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_701768db802888f4;PAT_a0c6b10984ae7f84;PAT_ed9891cba02df005,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_033,300903,S.Maria Hoe' - tremonte/via leopardi,45.74118,9.38096,1,300903,S.Maria Hoe' - tremonte/via leopardi,"45.741180,9.380960",D184,PAT_2feb1d6a5aa5cd76;PAT_701768db802888f4;PAT_75b1487d1fcc52dd,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_035,300956,"Calco - via nazionale, 85",45.7366,9.41967,1,300956,"Calco - via nazionale, 85","45.736600,9.419670",D185,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_036,L00063,Brivio - capolinea,45.74245,9.44585,1,L00063,Brivio - capolinea,"45.742450,9.445850",D185,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_038,L00397,Calco - via virgilio,45.72495,9.414367,1,L00397,Calco - via virgilio,"45.724950,9.414367",D185,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_039,L00407,Olgiate Molgora (stazione f.s.),45.72917,9.40441,1,L00407,Olgiate Molgora (stazione f.s.),"45.729170,9.404410",D184;D185,PAT_701768db802888f4;PAT_ed9891cba02df005;PAT_fd7b8cc6801c7523,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_041,L00871,S.Maria Hoe' - alduno,45.7347,9.382517,1,L00871,S.Maria Hoe' - alduno,"45.734700,9.382517",D184,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
EX_042,L00878,Rovagnate - semaforo,45.737133,9.370467,1,L00878,Rovagnate - semaforo,"45.737133,9.370467",D184,PAT_2ad22659f8ca4ff7;PAT_701768db802888f4;PAT_ed9891cba02df005,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,true
V4_EQ_062,300062,Cisano - bivio brivio,45.74085,9.4705,2,300062;L00062,Cisano - bivio brivio;Cisano - bivio brivio,"45.740850,9.470500;45.740633,9.471733",D185,PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_399,300399,Sant'Antonio d'Adda,45.75515,9.48388,2,300399;L00399,Sant'Antonio d'Adda;Sant'Antonio d'Adda,"45.755150,9.483880;45.754750,9.483683",D185,PAT_13e1ac93db9e4992;PAT_4c687aad37135a27,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_401,300401,Celana,45.750067,9.492217,2,300401;L00401,Celana;Celana,"45.750067,9.492217;45.750220,9.492070",D185,PAT_13e1ac93db9e4992;PAT_31a2d11dc5987084;PAT_3a757ae4135a29dd;PAT_4c687aad37135a27;PAT_c890b985971c3bbb,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
