scenario_id,topology_family,n_public_routes,n_optional_extensions,routes_json,optional_extensions_json,seed_name
P2_9388a84bb6ce26da,scheduled_extensions,1,1,"[[""rail:S01514"",""existing:EX_019"",""rail:S01514""]]","[[""rail:S01514"",""existing:EX_019"",""P2V2S_0047"",""existing:EX_019"",""rail:S01514""]]",
P2_9388b7bc55f79397,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0100"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0100"",""P2V2S_0148"",""P2V2S_0100"",""rail:S01514""]]",
P2_939637c2311d403a,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0101"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0101"",""P2V2S_0053"",""P2V2S_0101"",""rail:S01514""]]",
P2_939dc1b606602eb2,scheduled_extensions,1,1,"[[""rail:S01514"",""existing:EX_001"",""rail:S01514""]]","[[""rail:S01514"",""existing:EX_001"",""existing:EX_021"",""existing:EX_001"",""rail:S01514""]]",
P2_93ab2e4d5d22b662,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0069"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0069"",""P2V2S_0148"",""P2V2S_0069"",""rail:S01514""]]",
P2_93ae3111218f9dbc,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0055"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0055"",""existing:EX_024"",""P2V2S_0055"",""rail:S01514""]]",
P2_93be5a7bcebbc3be,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0090"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0090"",""existing:EX_034"",""P2V2S_0090"",""rail:S01514""]]",
P2_93c954e7e594e1e9,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0069"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0069"",""P2V2S_0019"",""P2V2S_0069"",""rail:S01514""]]",
P2_93d305977b764526,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0110"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0110"",""P2V2S_0029"",""P2V2S_0110"",""rail:S01514""]]",
P2_93d367394a24f31d,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0014"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0014"",""P2V2S_0105"",""P2V2S_0014"",""rail:S01514""]]",
P2_93d65a235ae91dc2,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0104"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0104"",""P2V2S_0028"",""P2V2S_0104"",""rail:S01514""]]",
P2_93e259dc22b70412,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0150"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0150"",""existing:EX_034"",""P2V2S_0150"",""rail:S01514""]]",
P2_93e704a3e4c15414,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0004"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0004"",""existing:EX_043"",""P2V2S_0004"",""rail:S01514""]]",
P2_93ebdc9afd876ee8,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0136"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0136"",""existing:EX_041"",""P2V2S_0136"",""rail:S01514""]]",
P2_93ec3015438f45fa,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0125"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0125"",""P2V2S_0082"",""P2V2S_0125"",""rail:S01514""]]",
P2_93f3e01dd187cb69,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0103"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0103"",""P2V2S_0063"",""P2V2S_0103"",""rail:S01514""]]",
P2_940bb5491a48389c,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0132"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0132"",""P2V2S_0046"",""P2V2S_0132"",""rail:S01514""]]",
P2_940f39e7c951cbc6,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0144"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0144"",""P2V2S_0017"",""P2V2S_0144"",""rail:S01514""]]",
P2_941ab618e9b356e1,scheduled_extensions,1,1,"[[""rail:S01514"",""P2V2S_0031"",""rail:S01514""]]","[[""rail:S01514"",""P2V2S_0031"",""P2V2S_0127"",""P2V2S_0031"",""rail:S01514""]]",
P2_9426ea5c6f047b1a,scheduled_extensions,1,1,"[[""rail:S01514"",""existing:EX_039"",""rail:S01514""]]","[[""rail:S01514"",""existing:EX_039"",""P2V2S_0151"",""existing:EX_039"",""rail:S01514""]]",
