alpha_stop_id,physical_cluster_id,human_label,municipality,lat,lon,graph_node_id,snap_distance_m,snap_status,stop_class,evidence_status,physical_status,candidate_status,field_check_status,current_routes,current_d184_d185,existing_official,human_identity_ready,route_ready,in_study_area,alpha_design_eligible,alpha_eligibility_reason,infrastructure_reuse_scope,source_lineage,epoch_id
existing:EX_038,EX_038,Calco - via virgilio,Calco,45.72495,9.414367,n:532282.82:5063572.95,38.839478615,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_024,EX_024,Rovagnate - la pesa,La Valletta Brianza,45.73725,9.374517,n:529163.04:5064915.90,3.703048354,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D184,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_027,EX_027,Perego - s.s. 342/via s.caterina,La Valletta Brianza,45.738567,9.362733,n:528193.74:5065060.08,20.854202261,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D184,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_029,EX_029,Rovagnate - semaforo,La Valletta Brianza,45.737167,9.369383,n:528732.80:5064951.92,40.214879794,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D184,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_030,EX_030,Rovagnate - vinicola ghezzi,La Valletta Brianza,45.7397,9.364717,n:528374.99:5065189.62,2.880115,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D184,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_042,EX_042,Rovagnate - semaforo,La Valletta Brianza,45.737133,9.370467,n:528782.93:5064911.12,38.804681357,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D184,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_011,EX_011,Olgiate Molgora - stazione f.s.,Olgiate Molgora,45.73371,9.40576,n:531565.22:5064543.04,4.338664511,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D184;D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_018,EX_018,Olgiate Molgora - via statale,Olgiate Molgora,45.728633,9.400417,n:531145.24:5063989.14,17.695633661,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,,False,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,REFERENCE_PERIOD_OFFICIAL_STOP_REUSE_CANDIDATE,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_023,EX_023,Olgiate Molgora - monticello scarpone,Olgiate Molgora,45.73133,9.39027,n:530369.50:5064267.88,5.233262208,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D184,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
existing:EX_035,EX_035,"Calco - via nazionale, 85",Olgiate Molgora,45.7366,9.41967,n:532651.30:5064867.56,1.596687618,ROUTE_READY_LE_75M,EXISTING_OFFICIAL,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,NOT_REQUIRED_FOR_EXISTING_IDENTITY,D185,True,True,True,True,True,True,ELIGIBLE_EXISTING_OFFICIAL_INFRASTRUCTURE,CURRENT_D184_D185_OFFICIAL_STOP,stop_universe_v2/existing_official_stops.csv,gate-d-2026-09-03-834d5caa0bfd
