journey_key,origin_code,origin_municipality,destination_code,destination_municipality,demand_weight,layer,source_resolution,category,rail_addressability,rail_semantics,spatial_allocation_status,full_gjt_ready,evidence_status
097058>015209,097058,Olgiate Molgora,015209,Sesto San Giovanni,12.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097058>097002,097058,Olgiate Molgora,097002,Airuno,12.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097058>097013,097058,Olgiate Molgora,097013,Calolziocorte,27.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097058>097020,097058,Olgiate Molgora,097020,Cernusco Lombardone,59.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097058>097042,097058,Olgiate Molgora,097042,Lecco,138.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097058>097061,097058,Olgiate Molgora,097061,Osnago,62.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097058>108004,097058,Olgiate Molgora,108004,Arcore,17.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097058>108016,097058,Olgiate Molgora,108016,Carnate,7.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097058>108033,097058,Olgiate Molgora,108033,Monza,35.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>015146,097074,Santa Maria Hoè,015146,Milano,28.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
