route_id,runtime_archetype_id,roles,public_runtime_min,cycle_runtime_min,rail_to_bus_passenger_supported,bus_to_rail_passenger_supported,roundtrip_passenger_supported,passenger_support_class,support_evidence_status,passenger_demand_assigned_to_route,passenger_utility_calculated
R2_cbccc250be1550f20a76,RT2_38bd7719702a3e0ca1f3,EXTENSION,32.416206046,32.416206046,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbcd71aef5e0f5ee50fd,RT2_588683d9392a882472eb,PUBLIC,18.390476083,28.525683023,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbcd73565f9bbe9e8a9b,RT2_24bae9f96eb2fba4324f,PUBLIC,28.725002221,28.725002221,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbcec25446403f027375,RT2_ac4d83df7b089addf35c,EXTENSION,44.626961169,44.626961169,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd05d2b1fb3a6a8f044,RT2_0d51ce692dccb87fe411,EXTENSION,29.812437057,29.812437057,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd0a807a584c99fac68,RT2_5bc02dff2b265ab85be6,PUBLIC,16.901222871,21.718667474,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd27c56872f4712da9c,RT2_59d688c89bd1ee4a30cc,EXTENSION,47.113440872,47.113440872,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd33887ec781e589643,RT2_e032b1cd3d20576fa477,PUBLIC,11.847642190,14.525609658,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd3cef200e70b66215d,RT2_2a7b76f25a67cf5015c1,EXTENSION,21.443371655,21.443371655,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd3fb74c61cb8bf1186,RT2_3195255338b98f6371e8,PUBLIC,57.230605201,57.230605201,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
