scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,current_lower_bound_non_regression_pass,minimum_worst_municipality_threshold_margin_vs_current_lower_bound,s8_complete_supported_route_count,s8_incomplete_supported_route_count,territorial_other_core_worker_mass_upper_bound,territorial_other_external_worker_mass_upper_bound,territorial_total_worker_mass_upper_bound_reporting_only,public_equal_pattern_set_cycle_distance_km_lower_bound,public_equal_pattern_set_cycle_runtime_min_lower_bound,public_max_single_route_cycle_runtime_min_lower_bound,public_closure_added_route_count,public_explicit_proposed_stop_count,public_explicit_existing_stop_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_operational_unknown_distance_share_lower_bound,public_explicit_field_check_pending_count,public_distance_km,public_runtime_min,public_route_count,equivalent_metric_scenario_count,frontier_timing_key,on_reference_budget_multiblock_frontier
P2_5c2f1244d3212bdc,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,134,0,134,6.363990446,10.307573164,10.307573164,0,0,1,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_S8_EXTENDED_0530_2400,false
P2_5c3171edf9db9229,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,0,0,0,1.709094245,4.597510344,4.597510344,0,0,1,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_S8_EXTENDED_0530_2400,true
P2_5c42a6e6eef1965c,two_independent_loops,15,S8_EXTENDED_0530_2400,330,1440,True,0.066479875394,0,2,1055,0,1055,38.555737546,78.413638236,40.123695401,0,4,4,0.171977763287,0.363603985922,0.481033428089,0.066479875394,0.171319215332,0.220739738276,0.0,4,38.555737546,78.413638236,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5c788d1f7f92d868,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,0,0,0,1.798824735,4.556729121,4.556729121,0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_S8_EXTENDED_0530_2400,true
P2_5c7a7db62d252d78,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,221,0,221,2.789180476,4.945358207,4.945358207,0,0,1,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_S8_EXTENDED_0530_2400,true
P2_5c98aff238a602c5,trunk_plus_branches,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,2,0,265,22,287,34.058695868,57.173950849,35.336939942,2,1,2,0.059522221065,0.152289090293,0.188739967079,0.0,0.0,0.0,0.0,1,18.632810601,31.234690678,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5cee9235b350a1cc,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,0,0,0,2.156645432,5.24249741,5.24249741,0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_S8_EXTENDED_0530_2400,true
P2_5d0c12277465d7ab,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,134,0,134,6.363990446,10.307573164,10.307573164,0,0,1,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_S8_EXTENDED_0530_2400,false
P2_5d10764900c45ae2,interlined_figure8,15,S8_EXTENDED_0530_2400,330,1440,True,0.035148434382,0,2,567,0,567,21.363357903,39.500540468,25.501532141,0,2,3,0.128172312908,0.265887199769,0.346895369227,0.035148434382,0.129866830471,0.172487715439,0.0,2,21.363357903,39.500540468,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5d17b7921b70f08c,blank_slate,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,90,283,373,11.485046864,26.210379468,26.210379468,0,3,1,0.090216150977,0.214893858904,0.267120929516,0.0,0.0,0.0,0.0,3,11.485046864,26.210379468,1,2,H15_S8_EXTENDED_0530_2400,false
P2_5d17f8b044ba61bf,two_independent_loops,15,S8_EXTENDED_0530_2400,330,1440,True,0.035148434382,0,2,567,0,567,21.363357903,39.500540468,25.501532141,0,2,3,0.128172312908,0.265887199769,0.346895369227,0.035148434382,0.129866830471,0.172487715439,0.0,2,21.363357903,39.500540468,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5d6e369ff2a3fb62,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,0,0,0,1.54371971,4.27715696,4.27715696,0,1,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_S8_EXTENDED_0530_2400,true
P2_5d8ab991cf171810,two_independent_loops,15,S8_EXTENDED_0530_2400,330,1440,True,0.034222283209,0,2,567,475,1042,33.11168157,61.791013215,39.389765835,0,5,2,0.104520761311,0.262896011064,0.368990787498,0.034222283209,0.148852067598,0.209153218453,0.0,5,33.11168157,61.791013215,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5d984357c1aadfda,blank_slate,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,490,0,490,11.227249945,20.087494841,20.087494841,0,0,3,0.080372653546,0.185898617437,0.248125028858,0.0,0.006505370732,0.009189912991,0.0,0,11.227249945,20.087494841,1,2,H15_S8_EXTENDED_0530_2400,false
P2_5db7e4c337856731,two_independent_loops,15,S8_EXTENDED_0530_2400,330,1440,True,0.04052783063,0,2,1055,0,1055,22.884336149,42.572495658,28.573487331,0,2,3,0.115740821715,0.232210342328,0.301439985554,0.04052783063,0.093632126155,0.139038753118,0.0,2,22.884336149,42.572495658,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5dd6add2bc5f4ac9,trunk_plus_branches,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,2,0,221,0,221,11.918605801,23.501496272,12.934600089,2,2,1,0.090959449015,0.209439831506,0.283488389949,0.0,0.0,0.0,0.0,2,8.20615762,16.421308615,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5df43dd082648552,blank_slate,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,375,0,375,5.896109366,10.288728864,10.288728864,0,1,1,0.05043427494,0.12293460404,0.167989035076,0.0,0.0,0.0,0.0,1,5.896109366,10.288728864,1,2,H15_S8_EXTENDED_0530_2400,false
P2_5dfbeaed19719910,single_compact_loop,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,447,509,956,11.297012267,26.00732253,26.00732253,0,4,0,0.073785804381,0.151342286734,0.183770644809,0.0,0.0,0.0,0.0,4,11.297012267,26.00732253,1,2,H15_S8_EXTENDED_0530_2400,false
P2_5e1090220dd1c316,blank_slate,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,641,0,641,16.631957894,31.128642342,31.128642342,0,0,4,0.136213208815,0.280815796104,0.340688852618,0.0,0.0,0.0,0.0,0,16.631957894,31.128642342,1,2,H15_S8_EXTENDED_0530_2400,false
P2_5e373daec872c4e0,bidirectional_loop_pair,15,S8_EXTENDED_0530_2400,330,1440,True,0.031914729768,0,2,245,23,268,38.458544743,69.834256452,34.92372634,0,1,3,0.091778858177,0.194020993506,0.261255447573,0.031914729768,0.061750460526,0.063137253657,0.0,1,38.458544743,69.834256452,2,1,H15_S8_EXTENDED_0530_2400,false
P2_5eb8c381fa9f6f0f,two_independent_loops,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,2,733,575,1308,33.528214472,66.423561453,40.123695401,0,3,3,0.124201292369,0.261964106063,0.351910156163,0.0,0.0,0.0,0.0,3,33.528214472,66.423561453,2,2,H15_S8_EXTENDED_0530_2400,false
