DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097048,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,1523,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,1609,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,495,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1114,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,1326,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,332,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,994,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,283,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,163,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097053,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,120,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,3618,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,1137,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,2481,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,2723,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,602,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,2121,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,895,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,535,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097058,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,360,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,2715,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,819,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1896,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,2191,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,583,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,1608,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,524,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,236,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097061,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,288,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,2270,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,736,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1534,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,1882,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,483,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,1399,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,388,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,253,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097062,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,135,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097071,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,3793,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097071,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,1238,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097071,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,2555,,,,,,,,ALL_N1,99_N1,,,,,,
