osm_type,osm_id,osm_lon,osm_lat,osm_name,osm_name_norm,osm_ref,osm_network,osm_operator,osm_public_transport,osm_highway,osm_bus,osm_shelter,osm_bench,osm_departures_board,osm_tactile_paving,matched_physical_cluster_id,match_status,match_distance_m,match_exact_ref,match_exact_name,match_token_jaccard,nearest_gtfs_cluster_id_even_if_unmatched,nearest_gtfs_distance_m,second_nearest_gtfs_distance_m,gtfs_cluster_names,gtfs_cluster_routes,gtfs_cluster_municipalities,epistemic_status
node,14006806495,9.404368,45.7291031,Olgiate Molgora FS - Piazza Repubblica,olgiate molgora fs piazza repubblica,,,,platform,bus_stop,yes,,,,,EX_039,PROBABLE_DISTANCE_ONLY_REVIEW,8.12,False,False,0.4,EX_039,8.12,306.773,Olgiate Molgora (stazione f.s.),D184|D185,Olgiate Molgora,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,2428954867,9.3704765,45.73716,,,,,,platform,bus_stop,yes,no,no,,no,EX_042,PROBABLE_DISTANCE_ONLY_REVIEW,3.089,False,False,0.0,EX_042,3.089,85.077,Rovagnate - semaforo,D184,La Valletta Brianza,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,2428954874,9.3694523,45.7371666,,,,,,platform,bus_stop,yes,no,no,,no,EX_029,PROBABLE_DISTANCE_ONLY_REVIEW,5.392,False,False,0.0,EX_029,5.392,79.031,Rovagnate - semaforo,D184,La Valletta Brianza,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,3589784824,9.4238044,45.7196806,,,,,,platform,bus_stop,yes,,,,,EX_021,PROBABLE_DISTANCE_ONLY_REVIEW,20.123,False,False,0.0,EX_021,20.123,816.44,Merate - sartirana (cimitero),D170,Calco,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,3589784827,9.4237025,45.7196993,,,,,,platform,bus_stop,yes,,,,,EX_021,PROBABLE_DISTANCE_ONLY_REVIEW,20.815,False,False,0.0,EX_021,20.815,808.72,Merate - sartirana (cimitero),D170,Calco,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,4051648530,9.3745228,45.737145,Via Statale - Via Barzaghi (La Valletta Brianza),via statale via barzaghi la valletta brianza,,,,platform,bus_stop,yes,no,no,,,EX_024,PROBABLE_DISTANCE_ONLY_REVIEW,11.675,False,False,0.1429,EX_024,11.675,315.54,Rovagnate - la pesa,D184,La Valletta Brianza,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,4051648531,9.3742635,45.7372491,Via Statale - Via Barzaghi (La Valletta Brianza),via statale via barzaghi la valletta brianza,,,,platform,bus_stop,yes,no,no,,,EX_024,PROBABLE_DISTANCE_ONLY_REVIEW,19.722,False,False,0.1429,EX_024,19.722,295.645,Rovagnate - la pesa,D184,La Valletta Brianza,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,5749603240,9.4456863,45.7413677,Via Como,via como,,,,platform,bus_stop,yes,yes,yes,timetable,,EX_002,PROBABLE_DISTANCE_ONLY_REVIEW,4.0,False,False,0.0,EX_002,4.0,120.92,Brivio - capolinea,D150|D185,Brivio,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,14006806496,9.4128075,45.7250774,Calco - via virgilio (pensilina asf),calco via virgilio pensilina asf,,,,platform,bus_stop,yes,,,,,EX_019,PROBABLE_EXACT_NAME_DISTANCE_REVIEW,204.718,False,True,1.0,EX_038,122.177,167.321,Calco - via virgilio (pensilina asf),D148|D185,Calco,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,13637611234,9.4195372,45.736545,"Calco - via nazionale, 85 (2)",calco via nazionale 85 2,,,,platform,bus_stop,yes,,,,,EX_035,PROBABLE_TOKEN_NAME_DISTANCE_REVIEW,12.004,False,False,1.0,EX_035,12.004,52.506,"Calco - via nazionale, 85",D148|D150|D185,Olgiate Molgora,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
node,14006806498,9.417429,45.7292622,Calco - Via Nazionale 90,calco via nazionale 90,,,,platform,bus_stop,yes,,,,,EX_016,PROBABLE_TOKEN_NAME_DISTANCE_REVIEW,46.554,False,False,0.6667,EX_016,46.554,516.474,Calco - via Nazionale,D185,Calco,CROSS_SOURCE_MATCH_REQUIRES_REVIEW
