structural_link_id,terminal_a,terminal_b,eligibility_status,eligible_for_bidirectional_undirected_structure,a_to_b_requested,a_to_b_pair_id,a_to_b_gate_d_route_found,a_to_b_admitted_corridor_count,a_to_b_min_running_minutes_model,a_to_b_min_distance_m,b_to_a_requested,b_to_a_pair_id,b_to_a_gate_d_route_found,b_to_a_admitted_corridor_count,b_to_a_min_running_minutes_model,b_to_a_min_distance_m,scope
STRUCT_LINK_4872B8319E3B0B3D,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::BEVERATE_CARTELLO_PAESE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_1758CCC956F1EDF4,True,1,1.011673833,421.530764,True,DIR_PAIR_4287B3BC29B67C03,True,1,1.018779746,424.491561,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_498CD6DD7F53E143,ASF::BRIVIO_BAR_CRISTALLO,FROZEN::300527,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_EADBF38B6CF11984,True,1,4.478794089,1896.527051,True,DIR_PAIR_36F285A68E9C0640,True,1,4.478794089,1896.527051,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_4B7ACEC9555EB75E,ASF::OLGIATE_MOLGORA_VIA_STATALE,ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_022DDC41C0C8019D,True,1,5.658931538,3363.895986,True,DIR_PAIR_DA69C376004AACC0,True,1,5.603590899,3327.002227,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_4BEA7FBE22B15963,ASF::CALCO_LARGO_POMEA,FROZEN::100005,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_51E0A4A1EFFA70DD,True,1,3.047443228,1832.817824,True,DIR_PAIR_A1D0E2325A059722,True,1,3.080097357,1855.150956,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_51389C4FE22C0D54,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::IMBERSAGO_LOCALITA_CAZZULINO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_AE36C56C1231474D,True,1,1.213671558,606.835779,True,DIR_PAIR_0AF7F6B097AFF739,True,1,1.213671558,606.835779,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_5402C3DBCBBD8B51,FROZEN::300086,FROZEN::300527,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_8F99364BCDC8E6F2,True,1,0.1791142,106.804184,True,DIR_PAIR_6793D037ABC095EF,True,1,0.1791142,106.804184,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_592242D31B1BD2B2,ASF::BEVERATE_CARTELLO_PAESE,ASF::VACCAREZZA_CARTELLO_PAESE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_88656F0C7DEA9945,True,1,1.341105573,861.190714,True,DIR_PAIR_88645B850784E45A,True,1,1.383370909,890.681517,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_5DDA5C206D3AF652,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BEVERATE_CARTELLO_PAESE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_C84735656DFB1BD6,True,1,7.252804565,3449.502062,True,DIR_PAIR_1824918EE57C9F96,True,1,7.210539229,3420.011258,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_616EE9F60487F286,ASF::BRIVIO_VIA_COMO_PENSILINA,FROZEN::300063,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_7FD5B70321C14F8C,True,1,0.252885955,144.205088,True,DIR_PAIR_AE963556A8EA091E,True,2,0.230231168,121.416016,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_63383B1D47E5F1F6,ASF::VACCAREZZA_CARTELLO_PAESE,FROZEN::300487,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_EFC4E3FB1108397F,True,1,1.262818932,828.072065,True,DIR_PAIR_3F52D7A393D354C3,True,1,1.305075922,858.083169,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_66507AC334819575,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::VACCAREZZA_CARTELLO_PAESE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_0B46C68C856B32A3,True,1,6.219022373,2791.879689,True,DIR_PAIR_DF60ED726E7D1D8B,True,2,6.219022373,2791.879689,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_688750DC7272098A,ASF::SANTA_MARIA_HOE_VIA_COMO,FROZEN::300782,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_97BFA888D30DA1D8,True,1,0.299537435,149.768717,True,DIR_PAIR_BD4547E5B5041485,True,1,0.258199145,129.099573,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_6A42F6C246A18C58,FROZEN::L00407,MANUAL::CALCO_SCAGNELLO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_A6B798757A30CDE8,True,2,3.991518418,1867.337072,True,DIR_PAIR_2A2A8A9126519808,True,1,3.912874404,1845.125215,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_6B42039768645A7E,ASF::CALCO_VIA_GARIBALDI,FROZEN::100005,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_F44D812ED2794EDC,True,1,3.540770269,2170.72238,True,DIR_PAIR_4CA07589A1B9B303,True,2,3.522155368,2107.972909,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_6C540560124F796F,ASF::CALCO_VIA_GARIBALDI,ASF::OLGIATE_MOLGORA_VIA_STATALE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_78691D6FD8F255B9,True,2,1.367044646,911.363097,True,DIR_PAIR_B04CF3D61D555984,True,1,1.374987779,916.65852,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_6CB9457240BEA6A1,ASF::CALCO_VIA_GARIBALDI,FROZEN::300634,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_5AE4836344111DB5,True,1,1.840446517,1098.415498,True,DIR_PAIR_D1FF59E24ADC327C,True,2,1.782452498,1009.413281,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_72AC5152A2900384,FROZEN::300782,FROZEN::300879,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_D0F52B5D6F7A419D,True,1,3.334501583,1474.577925,True,DIR_PAIR_5303B58E385E8333,True,1,3.334501583,1474.577925,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_7ECF6E56DDD8EA06,ASF::SANTA_MARIA_HOE_VIA_COMO,FROZEN::300805,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_9FF9D47B8974160D,True,1,0.710517243,355.258622,True,DIR_PAIR_5E88EA4F06A19FC9,True,2,0.734584859,367.292429,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
